"What was the width of gold plate in the Rutherford's \alpha -Scattering 
experiment?",রাদাফোর্ডের আলফা কণা বিচ্ছুরণ পরীক্ষায় স্বর্ণপাতের পুরুত্ব কত ছিল?,0.000004m,0.00004cm,0.0004mm,0.004cm,0.000004m,0.00004cm,0.0004mm,0.004cm,b
Which clement shows exceptional electronic configuration?,নিম্নের কোন মৌলটি ব্যতিক্রমী ইলেকট্রন বিন্যাস দেখায়?,Zn,Fe,Cu,Pb,Zn,Fe,Cu,Pb,c
Which one has the highest polarization property?,পোলারাইজেশন ধর্ম কোনটির সবচেয়ে বেশি?,Be^{2+},Mg^{2+},Ca^{2+},Ba^{2+},Be^{2+},Mg^{2+},Ca^{2+},Ba^{2+},a
Which one of the following is a buffer solution?,নিম্নের কোনটি বাফার দ্রবণ?,30mL 0.1M NH_{4}OH+20mL 0.2M HCl,40mL 0.2M CH_{3}COOH+30mL 0.3M NaOH,50 mL 0.1M NaOH+40mL 0.2M H_{2}CO_{3},"60mL 0.1M NaOH
+70mL 0.2 MHCl",30 mL 0.1M NH_{4}OH + 20mL 0.2M HCl,40 mL 0.2M CH_{3}COOH + 30mL 0.3M NaOH,50 mL 0.1M NaOH + 40mL 0.2M H_{2}CO_{3},60 mL 0.1M NaOH + 70mL 0.2M HCL,c
Which of the following is the example of isotone?,আইসোটোপের উদাহরণ কোনটি?,"_{6}^{14}\textrm{C}, _{8}^{16}\textrm{O}","_{6}^{14}\textrm{C}, _{7}^{14}\textrm{O}","_{1}^{3}\textrm{H}, _{1}^{2}\textrm{H}","_{6}^{13}\textrm{C}, _{8}^{17}\textrm{O}","_{6}^{14}\textrm{C}, _{8}^{16}\textrm{O}","_{6}^{14}\textrm{C}, _{7}^{14}\textrm{O}","_{1}^{3}\textrm{H}, _{1}^{2}\textrm{H}","_{6}^{13}\textrm{C}, _{8}^{17}\textrm{O}",a
"Vinegar preserves food by-
i.creating acidic environment
ii.destroying active sites of vacteria
iii.as a chelating agent
Which one is correct?","ভিনেগার খাদ্য সংরক্ষণ করে-
 i. অম্লীয় পরিবেশ সৃষ্টির মাধ্যমে
 ii. ব্যাকটেরিয়ার অ্যাকটিভ সাইট নষ্ট করার মাধ্যমে
 iii, কিলেটিং এজেন্ট হিসেবে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"If 50g of a solute dissolves in 150g saturated solution at 25^{\circ}C temperature
what is the solubility of the solute?",25^{\circ} সে. তাপমাত্রায় 150 গ্রাম সম্পৃক্ত দ্রবণে 50 গ্রাম দ্রব্য দ্রবীভূত থাকলে ঐ দ্রবের দ্রাব্যতা কত?,100,75,50,25,100,75,50,25,c
"To increase the temperature of the following reaction:
2SO_{2}(g)+O_{2} \rightleftharpoons  2SO_{3}(g)+44.8KCal
i.amount of SO_{2} decreases
ii.value of K_{c} decrease
iii.reaction will be backward
Which one is correct?","2SO_{2}(g)+O_{2}(g)\rightleftharpoons 2SO_{3}(g) + 44.8kCal; বিক্রিয়াটিতে তাপমাত্রা বৃদ্ধি করলে-
 i. SO_{2} এর পরিমাণ হ্রাস পায়
 ii. K_{c} এর মান হ্রাস পায়
 iii. বিক্রিয়া পশ্চাৎমুখী হয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"If quantum number n=4 and l=3,Which one is the orbital?",কোয়ান্টাম সংখ্যার মান n = 4 এবং I = 3 হলে অরবিটালটি হবে-,4s,4p,4d,4f,4s,4p,4d,4f,d
Food preservation by which ingredient is called curing?,নিচের কোন উপাদান দ্বারা খাদ্য সংরক্ষণ পদ্ধতিকে কিউরিং বলে?,Mustard oil,Sugar,Table salt,Vinegar,সরিষার তেল,চিনি,খাদ্য লবণ,ভিনেগার,c
"Two acidic solutions have pH 3.0 and 6.0 respectively .How many times
the first solution is more acidic than the second one?",দুুটি অম্লীয় দ্রবণে pH যথাক্রমে 3.0 ও 6.0 হলে প্রথম দ্রবণটি দ্বিতীয় দ্রবণ অপেক্ষা কত গুণ বেশি অম্লীয়?,20 times,50 times,100 times,1000 times,20 গুণ,50 গুণ,100 গুণ,1000 গুণ,d
Which set of the following has common ion effect?,নিচের কোন সেটটিতে সম-আয়ন প্রভাব বিদ্যমান?,"CaCl_{2},CH_{2}Cl","H2_{S},HCl","C_{2}H_{6},HCl","NaCl, C_{6}H_{5}Cl","CaCl_{2},CH_{3}Cl","H_{2}S, HCl","C_{2}H_{6}, HCl","NaCl, C_{6}H_{5}Cl",b
Which one is the weakest acid?,সবচেয়ে দুর্বল এসিড কোনটি?,H_{2}SO_{4},HNO_{3},HClO_{4},H_{3}PO_{3},H_{2}SO_{4},HNO_{3},HClO_{4},H_{3}PO_{3},d
Which is the Chalcogen group?,চালকোজেন গ্রুপ কোনটি?,16,15,14,11,16,15,14,11,a
How many basic principles do green chemistry have?,সবুজ রসায়নের মূলনীতি কয়টি?,10,12,14,16,10,12,14,16,b
"The solubility of AlF_{3} is 0.0002 mol/L.
What is the solubility product?",AlF_{3} এর দ্রাব্যতা 0.0002 mol/L হলে দ্রাব্যতা গুণফল কত?,3.4\times 10^{-14},4.3\times 10^{-14},3.4\times 10^{-13},4.3\times 10^{-13},3.4\times 10^{-14},4.3\times 10^{-14},3.4\times 10^{-13},4.3\times 10^{-13},b
Unit of K_{p} for the following reaction N_{2}(g)+3H_{2}(g)\rightleftharpoons 2NH_{3}(g) is-,N_{2}(g)+3H_{2}(g)\rightleftharpoons 2NH_{3}(g); বিক্রিয়ার K_{p} এর একক কোনটি?,atm,atm^{2},atm^{-1},atm^{-2},atm,atm^{2},atm^{-1},atm^{-2},d
which one is used in identification of sulphate (SO) ion?,সালফেট আয়ন (SO_{4}^{2-}) শনাক্তকরণে ব্যবহৃত হয়-,AgCI,AgNO_{3},Ba(NO_{3})_{2},BaSO_{4},AgCl,AgNO_{3},Ba(NO_{3})_{2},BaSO_{4},c
Which has the greatest effect of lone pair electronn?,কোনটিতে মুক্তজোড় ইলেকট্রনের প্রভাব সবচেয়ে বেশি?,NH_{3},H_{2}O,NH_{4}^{+},H_{3}O^{+},NH_{3},H_{2}O,NH_{4}^{+},H_{3}O^{+},b
Which has greater atomic radius?,কোনটির পারমাণবিক ব্যাসার্ধ বেশি?,Na,Mg,Si,S,Na,Mg,Si,S,a
"If the stomic number is increased at the same period-
i.electro negativity increases 
ii.non-metallic properties increases
iii.ionization energy increases
Which one is correct?","একই পর্যায়ে পারমাণবিক সংখ্যা বৃদ্ধি পেলে-
 i. তড়িৎ ঋণাত্মকতা বৃদ্ধি পায়
 ii. অধাতব ধর্ম বৃদ্ধি পায়
 iii. আয়নিকরণ শক্তি বৃদ্ধি পায়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which is a ferromagnetic element?,কোনটি ফেরোম্যাগনেটিক মৌল?,Co,Ti,Cu,Zn,Co,Ti,Cu,Zn,a
Which amount of ethanoic acid is vinegar?,ভিনেগারের মধ্যে ইথানয়িক এসিডের পরিমাণ কত?,1-2%,2-4%,4-6%,6-10%,1-2%,2-4%,4-6%,6-10%,d
M+\Delta H\rightarrow M^{+}+e^{-}; which one \Delta H here?,M+\Delta H\rightarrow M^{+}+e^{-}; এখানে \Delta H কোনটি?,Electron affinity,Ionization energy,Electro positivity,Electro negatibity,ইলেকট্রন আসক্তি,আয়নিকরণ শক্তি,তড়িৎ ধনাত্মকতা,তগড়ৎ ঋণাত্মকতা,b
Which of the following is a noble gas?,নিচের কোনটি অভিজাত গ্যাস,H_{2},N_{2},F_{2},Xe,H_{2},N_{2},F_{2},Xe,d
What is the optimum oH of fertile soil?,উর্বর মাটির জন্য অত্যানুকূল pH কত?,3.0-4,6-May,8-Jul,11-Oct,3.0-4,6-May,8-Jul,11-Oct,c
What is the shape of NH_{4}^{+}?,NH_{4}^{+} এর আকৃতি কোনটি?,Octahedral,Bipyramidal,Tetrahedral,Pyramidal,অষ্টতলকীয়,দ্বি-পিরামিডীয়,চতুস্তলকীয়,পিরামিডীয়,c
"Dissociation rate of a 1.0 molar NH4OH solution is 1.34%,What
is the Kb of the solution?",একটি 1.0 মোলার NH_{4}OH দ্রবণটির বিয়োজন মাত্র 1.34%। উক্ত দ্রবণটির K_{B} এর মান কত?,1.659\times 10^{-4},1.975\times 10^{-6},1.567\times 10^{-6},1.795\times 10^{-4},1.659\times 10^{-4},1.975\times 10^{-6},1.565\times 10^{-6},1.795\times 10^{-4},d
Which quantum number gives the idea about orbital of atoms?,পরমাণুতে অরবিটাল সম্পর্কে ধারণা দেয় কোন কোয়ান্টাম সংখ্যা?,"Principal quantum
number","Subsidiary quamtum
number","Magnetic quantum
number",Spin quantum number,প্রধান কোয়ান্টাম সংখ্যা,সহকারী কোয়ান্টাম সংখ্যা,চৌম্বক কোয়ান্টাম সংখ্যা,স্পিন কোয়ান্টাম সংখ্যা,b
"In an equilibrium state of N_{2}O_{4} and NO_{2} at 25^{\circ} temperature
the partial pressure of the gases are 0.69 atm and 0.31 atm 
respectively. What is the value of K_{p} in the dissociation reaction of N_{2}O_{4}?","25^{\circ}C তাপমাত্রায় N_{2}O_{4} এবং NO_{2} এর সাম্য মিশ্রণে তাদের আংশিক চাপ যথাক্রমে 0.69 atm এবং 0.31 atm, ...... এর বিয়োজন বিক্রিয়ায় K_{p} এর মান কত?",0.349 atm,0.249 atm,0.449 atm,0.139 atm,0.349 atm,0.249 atm,0.449 atm,0.139 atm,d
Which is the Sub-shell when l=2?,l = 2 হলে উপন্তুর কোনটি?,s-subshell,p-subshell,d-subshell,f-subshell,s-উপন্তর,p-উপন্তর,d-উপন্তর,f-উপন্তর,c
Which is the correct energy order of orbital's?,অরবিটালসমূহের শক্তির সঠিক ক্রম কোনটি?,3s<3d<4p,3d<3s<4p,4p<3s<3d,3s<4p<3d,3s < 3d < 4p,3d < 3s < 4p,4p < 3s < 3d,3s < 4p < 3d,a
What is the charge of an electron in coulomb?,ইলেকট্রনের চার্জ কত কুলম্ব?,1.6\times 10^{-20},1.6\times 10^{-19},4.8\times 10^{-10},4.8\times 10^{-9},1.6\times 10^{-20},1.6\times 10^{-19},4.8\times 10^{-10},4.8\times 10^{-9},b
In which orbital 19^{th} electron of Cu goes?,Cu এর 19 তম ইলেকট্রনটি কোন অরবিটালে যায়?,3s,4s,3d,3p,3s,4s,3d,3p,b
What is the pH of human blood?,মানুুষের রক্তের pH কত?,8.4,7.4,6.4,5.4,8.4,7.4,6.4,5.4,b
Which of the following elements electron affinity is maximum?,কোনটিতে মুক্তজোড় ইলেকট্রনের প্রভাব সবচেয়ে বেশি?,F,CI,Br,"I,ii&iii",NH_{3},H_{2}O,NH_{4}^{+},H_{3}O^{+},b
How many orbitals are in d-sub -shell?,d-উপন্তরে অরবিটাল কয়টি?,1,3,5,7,1,3,5,7,c
Which one is stronger?,কোনটির তীব্রতা বেশি?,H_{2}CO_{3},HNO_{3},H_{2}SO_{4},HCIO_{4},H_{2}CO_{3},HNO_{3},H_{2}SO_{4},HClO_{4},d
"Which of the following light's wavelength is less than sky blue
lights wavelength?",আসমানি আলোর তরঙ্গদৈর্ঘ্যের চেয়ে ছোট তরঙ্গদৈর্ঘ্যের আলো কোনটি?,Blue,Green,Orange,Red,নীল,সবুজ,কমলা,লাল,a
Which enzyme is used to prepare ethanol from glucose?,গুক্লোজ থেকে ইথানল প্রস্তুতিতে কোন এনজাইমটি ব্যবহৃত হয়?,Diastase,Maltase,Zymase,Invertsse,ডায়াস্টেজ,মল্টেজ,জাইমেজ,ইনভার্টেজ,c
"Two acidic solutions have pH 3.0 and 6.0 respectively .How many times
the first solution is more acidic than the second one?",দুটি অম্লীয় দ্রবণের pH যথাক্রমে 3.0 এবং 6.0 হলে প্রথম দ্রবণটি দ্বিতীয় দ্রবণ অপেক্ষা কতগুণ বেশি অম্লীয়?,20 times,50 times,100 times,1000 times,20 গুণ,50 গুণ,100 গুণ,1000 গুণ,d
AlF3 has solubililty of 0.0002 mol/L.what is the solubility product?,AlF_{3} এর দ্রাব্যতা 0.0002 mol/L হলে দ্রাব্যতা গুণফল কত?,3.4\times 10^{-14},4.3\times 10^{-14},3.4\times 10^{-13},4.3\times 10^{-13},3.4\times 10^{-14},4.3\times 10^{-14},3.4\times 10^{-13},4.3\times 10^{-13},b
Which one of the following is the strongest acid?,নিচের কোন এসিডটি সবচেয়ে শক্তিশালী?,HF,HCI,HBr,HI,HF,HCI,HBr,HI,d
Food preservation by which ingredient is called curing?,নিচের কোন উপাাদান দ্বারা খাদ্য সংরক্ষণ পদ্ধতিকে কিউরিং বলে?,Mustard oil,Sugar,Table salt,Vinegar,সরিষার তেল,চিনি,খাদ্য লবণ,ভিনেগার,c
"To increase the temperature of the following reaction:
2SO_{2}(g) + O_{2}\rightleftharpoons  2SO_{3}(g)+44.8KCal
i. amount of SO_{2} decreases
ii. value of Kc decrease
iii. reaction will be backward
Which one is correct?","2SO_{2}(g)+O_{2}(g)\rightleftharpoons 2SO_{3}(g)+44.8 kCal; বিক্রিয়াটিতে তাপমাত্রা বৃদ্ধি করলে-
 i. SO_{2} এর পরিমাণ হ্রাস পায়
 ii. K_{c} এর মান হ্রাস পায়
 iii. বিক্রিয়া পশ্চাৎমুখী হয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"If M^{3+} ion has 23 electrons,what is the atomic number of M?",M^{3+} আয়নে 23 টি ইলেকট্রন থাকলে M এর পারমাণবিক সংখ্যা কত?,23,24,25,26,23,24,25,26,d
Which of the following is a buffer solution?,বাফার দ্রবণ কোনটি?,30mL 0.1M NH_{4}OH+20mL 0.2M HCI,40mL 0.2M CH_{3}COOH+30mL 0.3 M NaOH,50mL 0.1M NaOH+40mL 0.2M H_{2}CO_{3},60mL 0.1M NaOH+70mL 0.2M HCI,30mL 0.1M NH_{4}OH+20 mL 0.3M HCl,40mL 0.2M CH_{3}COOH+30 mL 0.3M NaOH,50 mL 0.1M NaOH + 40 mL 0.2M H_{2}CO_{3},60 mL 0.1M NaOH + 70mL 0.2M HCl,c
"Cause of angular shape of H_{2}S-
i. no H-bond in the molecule
ii. sulphur has two lone pair electrons
iii. bond angle is less than 180˚
Which one is correct?","H_{2}S অণুর আকৃতি কৌণিক হওয়ার কারন-
 i. অণুতে হাইড্রোজেন বন্ধন নাই
 ii. সালফারের দুইটি মুক্তজোড় ইলেকট্রন থাকে
 iii. বন্ধন কোণ 180^{\circ} এর চেয়ে কম
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"If 50g of a solute dissolves in 150g saturated solution at 25^{\circ} temperature
what is the solubility of the solute?",25^{\circ} সে তাপমাত্রায় 150 গ্রাম সম্পৃক্ত দ্রবণে 50 গ্রাম দ্রব দ্রবীভূত থাকলে ঐ দ্রবের দ্রাব্যতা কত?,100,75,50,25,100,75,50,25,c
Which is the colour compound?,কোনটি রঙিন যৌগ?,TiCl_{4},MnO_{2},ScCl_{3},ZnSO_{4},TiCl_{4},MnO_{2},ScCl_{3},ZnSO_{4},b
"If quantum number n=4 and l=3,Which one is the orbital?",কোয়ান্টাম সংখ্যার মান n = 4 এবং I = 3 হলে হলে অরবিটালটি-,4s,4p,4d,4f,4s,4p,4d,4f,d
"Vineger preserves food by-
i.creating acidic enviroment
ii.destroying the active site of bacteria
iii.as chelating agent
Which one is correct?","ভিনেগার খাাদ্য সংরক্ষণ করে-
 i. অম্লীয় পরিবেশ সৃষ্টির মাধ্যমে
 ii. ব্যাকটেরিয়ার অ্যাকটিভসাইট নষ্ট করার মাধ্যমে
 iii. কিলেটিং এজেন্ট হিসেবে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
What percentage of water does vinegar contain?,ভিনেগারে কত শতাংশ পানি বিদ্যমান-,6%,15%,70%,90%,6%,15%,70%,90%,d
Which element shows exceptional electronic configuration?,কোন মৌলটি ব্যতিক্রমর্ধী ইলেকট্রন বিন্যাস দেখায়?,Zn,Fe,Cu,Pb,Zn,Fe,Cu,Pb,c
"Which group of elements of the periodic table are known as coinage
metals?",পর্যায় সারণির কোন শ্রেণির মৌলসমূহ মুদ্রাধাতু নামে পরিচিত?,11,12,16,17,11,12,16,17,a
Unit of K_{p} for the reaction is N_{2}+3H_{2}\rightleftharpoons 2NH_{3}?,N_{2}+3H_{2}\rightleftharpoons 2NH_{3}; বিক্রিয়ার K_{p} এর একক কোনটি?,atm,atm^{2},atm^{-1},atm^{-2},atm,atm^{2},atm^{-1},atm^{-2},d
Which of he following is the exmaple of isotone?,আইসোটোনের উদাহরণ কোনটি?,_{6}^{14}\textrm{C}\cdot _{8}^{14}\textrm{O},_{6}^{14}\textrm{C}\cdot _{7}^{14}\textrm{O},_{1}^{3}\textrm{H}\cdot _{1}^{2}\textrm{H},_{6}^{13}\textrm{C}\cdot _{8}^{17}\textrm{O},_{6}^{14}\textrm{C}\cdot _{8}^{14}\textrm{O},_{6}^{14}\textrm{C}\cdot _{7}^{14}\textrm{O},_{1}^{3}\textrm{H}\cdot _{1}^{2}\textrm{H},_{6}^{13}\textrm{C}\cdot _{8}^{17}\textrm{O},a
How many types of bonds are there in NH_{4}CI?,NH_{4}Cl যৌগে কয় ধরনের বন্ধন বিদ্যমান?,2,3,4,5,2,3,4,5,b
"Which of the following cation shows confirmatory test by using K4
[Fe(CN)6] solution?",K_{4}[Fe(CN)_{6}] দ্রবণ দ্বারা কোন ক্যাটায়নের নিশ্চিত পরীক্ষা করা হয়?,Cu^{2+},NH_{4}^{+},Na^{+},Al^{3+},Cu^{2+},NH_{4}^{+},Na^{+},Al^{3+},a
What is the hybridisation of 'N' in NH_{4}^{+} ion?,NH_{4}^{+} আয়নে N এর সংকরণ কোনটি?,sp,sp^{2},sp^{3},sp^{3}d,sp,sp^{2},sp^{3},sp^{3}d,c
How many basic principles do green chemistry have?,সবুজ রসায়নেের মূলনীতি কয়টি?,10,12,14,16,10,12,14,16,b
Which one has the highet polarization property?,কোন আয়নের পোলাইজেশন ক্ষমতা বেশি?,Be^{+2},Mg^{2+},Ca^{2+},Ba^{2+},Be^{2+},Mg^{2+},Ca^{2+},Ba^{2+},a
What is the shape of p-orbital?,p-অরবিটালের আকৃতি কীরূপ?,Spherical,Round shape,Dumbbell,Double dumbbell,বর্তুলাকার,গোলাকার,ডাম্বেল,ডাবোল ডাম্বেল,c
Which series is produced atr uv-region in hydrogen spectrum?,হাইড্রোজেন বর্ণালিতে অতিবেগুনি অঞ্চলে কোন সিরিজ উৎপন্ন হয়?,Lyman,Balmer,Paschen,Pfund,লাইম্যান,বামার,প্যাশ্চেন,ফান্ড,a
Which one is applicable for Bohr atom model?,কোনটির ক্ষেত্রে বোর পরমাণু মডেল প্রযোজ্য?,H^{+},He^{2+},Li^{2+},Be^{4+},H^{+},He^{2+},Li^{2+},Be^{4+},c
Potassium piroantimonate is used to identify of the which ion?,পটাাসিয়াম পাইরোঅ্যান্টিমোনেট নিম্নের কোন আয়ন শনাক্তকরণে ব্যবহৃত হয়?,NH_{4}^{+},Zn^{2+},Na^{+},Ca^{2+},NH_{4}^{+},Zn^{2+},Na^{+},Ca^{2+},c
What will happen if the quantum number is increased?,কোয়ান্টাম সংখ্যা বাড়লে কী ঘটে?,Reduce the size of atom,Reduce the radius of atom,Increase the energy of atom,Reduce the centrifugal force of atom,পরমাণুর আকার কমে,পরমাণুর ব্যাসার্ধ কমে,পরমাণুর শক্তি বাড়ে,কেন্দ্রমুখী বল কমে,d
In which block the element CI(17) is present?,Cl(17) কোন ব্লকের মৌল?,s-block,p-block,d-block,f-block,s-ব্লক,p-ব্লক,d-ব্লক,f-ব্লক,b
"For p-sub orbital-
l=I
ii.m=+1,0,-1
iii.orbital number 3
Which one is correct?","p-উপশক্তি স্তরে-
 i. l = 1
 ii. m = +1, 0, -1
 iii. অরবিটাল সংখ্যা 3
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is alkaline earth metal?,কোনটি মৃৃৎক্ষার ধাতু?,Na,Ca,Al,Zn,Na,Ca,Al,Zn,b
What type of shape of BeCI_{2}?,BeCl_{2} এর অণুর আকৃতি কীরূপ?,Tetrahydral,Trigonal,Linear,Pyramidal,চতুস্তলকীয়,ত্রিকোণাকার,সরলরৈখিক,পিরামিডীয়,c
"What will be the solubility of NaCI ,if 15 gm Nacl is soluted in 60 gm
saturated solution of NaCI at room temperature?",কক্ষ তাপমাত্রায় 60 গ্রাম ভরের একটি সম্পৃক্ত দ্রবণে 15 গ্রাম NaCl দ্রবীভূত থাকলে NaCl এর দ্রাব্যতা কত?,25,30,33.33,36.36,25,30,33.33,36.36,c
What is the bond angle of NH_{4}^{+} ion?,NH_{4}^{+} আয়নের বন্ধন কোণ কত ডিগ্রী?,104.5,107,109.5,120,104.5,107,109.5,120,c
Which aquous of the compound is more conductive?,কোন যৌগের জলীয় দ্রবণে বিদ্যুৎ পরিবাহিতা বেশি?,LicI,NaCI,CaCI_{2},CCI_{4},LiCl,Nacl,CaCl_{2},CCl_{4},b
How many number of elements are present in s-block?,s-ব্লকের অর্ন্তভুক্ত মৌলের সংখ্যা কয়টি?,6,7,10,14,6,7,10,14,d
"Which one is applicable for the equilibrium reaction?
CH_{4}(g)+2O_{2}(g) \rightleftharpoons CO_{2}(g)+2H_{2}O(l)",CH_{4}(g)+2O_{2}(g)\rightleftharpoons CO_{2}(g)+2H_{2}O(l); সাম্য বিক্রিয়াটির ক্ষেত্রে কোনটি প্রযোজ্য,Volume is unchanged,Volume is expanded,Pressure is neutral at equilibrium,Equilibrium is forwarded when pressure is applied,আয়তন অপরিবর্তিত,আয়তন সম্প্রসারিত,সাম্যাবস্থায় চাপ নিরপেক্ষ,চাপ প্রয়োগে সাম্যাবস্থা ডানদিকে স্থানান্তরিত হয়,d
The pH value of which aquous solution of salt is>7?,কোন লবণটির জলীয় দ্রবণের pH > 7?,NaCI,CuSO_{4},Na_{2}CO_{3},NH_{4}CI,NaCl,CuSO_{4},Na_{2}CO_{3},NH_{4}Cl,c
"in the case of a compound for more polarization of ion-
i.covalent character is increased
ii.solubility is decreased in water
iii.hydrolysis tendency is increased
Which one is correct?","আয়নের পোলারায়ন বেশি হলে সংশ্লিষ্ট যৌগের-
 i. সমযোজী বৈশিষ্ট্য বেশি হয়
 ii. পানিতে দ্রাব্যতা কম হয়
 iii. আর্দ্রবিশ্লেষণ প্রবণতা বৃদ্ধি পায়
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one is natural food preservative?,কোনটি প্রাকৃতিক খাদ্য সংরক্ষক?,Sodium benzoate,Sodium chloride,Sodium methanoate,BHA,সোডিয়াম বেনজোয়েট,সোডিয়াম ক্লোরাইড,সোডিয়াম মিথানয়েট,BHA,b
Which compound has higher lone pair electrons?,কোন যৌগে মুক্তজোড় ইলেকট্রন সংখ্যা সর্বোচ্চ?,NH_{3},H_{2}O,HCI,H_{2}S,NH_{3},H_{2}O,HCl,H_{2}S,c
"In SO_{3} compound-
i. covalent bond is present
ii. co-ordianate bond is present
iii. \pi -bond is present
Which one is correct","SO_{3} যৌগে উপস্থিত
 i. সমযোজী বন্ধন
 ii. সন্নিবেশ বন্ধন
 iii. পাই বন্ধন
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
In which solution of pH value the hydrogen concentration is highest?,কোন pH মানের দ্রবণটিতে হাইড্রোজেন আয়নের ঘনমাত্রা বেশি?,2.3,5.5,7.4,9.5,2.3,5.5,7.4,9.5,a
What is the pH value of 0.05 M H_{2}SO_{4} solution?,0.05M H_{2}SO_{4} দ্রবণের pH কত?,0.5,1,1.5,2,0.5,1,1.5,2,b
"The vinegar-
i.is used in pickling
ii.neutralizes the active place of micro organism
iii.occurs fermentation of food
Which one is correct?","ভিনেগার-
 i. পিকলিং এ ব্যবহৃত হয়
 ii. অণুজীবের সক্রিয় স্থানকে প্রশমিত করে
 iii. খাদ্যের ফারমেন্টেশন ঘটায়
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Which one is used as co-catalyst for the production of NH3 in Haber 
Bosch process?",হেবার বস্ পদ্ধতিতে NH_{3} মিল্পোৎপাদনে প্রভাবক সহায়ক হিসেবে কোনটি ব্যবহৃত হয়?,"More soluble ionic
compound",Fe,Ni,V,MO,Ee,Ni,V,a
What is the valie of n for 2nd line of Balmer series?,বামার সিরিজের ২য় লাইনের ক্ষেত্রে n-এর মান কত?,2,3,4,5,2,3,4,5,c
Which ionic compound has maximum polarization occurred?,নিচের কোন আয়নিক যৌগের সবচেয়ে বেশি পোলারায়ন ঘটে?,KCI,NaCI,MgCI_{2},BeCI_{2},HCl,NaCl,MgCl_{2},BeCl_{2},d
Which one of the following oxi-acid is more strong?,অক্সিএসিডসমূহের কোনটির তীব্রতা বেশি?,HNO_{3},HCIO_{3},H_{2}SO_{3},H_{3}PO_{4},HNO_{3},HClO_{3},H_{2}SO_{3},H_{3}PO_{4},a
Which one will be the solubility of AB_{3} if its solubility product is 1.7\times 10^{-12}?,AB_{3} যৌগের দ্রাব্যতা গুণফল 1.7\times 10^{-12} হলে এর দ্রাব্যতা কত?,6.3\times 10^{-14}molL^{-1},6.3\times 10^{-10}molL^{-1},2.5\times 10^{-7}molL^{-1},5.0\times 10^{-4}molL^{-1},6.3\times 10^{-14} mol L^{-1},6.3\times 10^{-10} mol L^{-1},2.5\times 10^{-7} mol L^{-1},5.0\times 10^{-4} mol L^{-1},d
"Magnetic quantum number-
i. represent the spin of electron
ii. value of m  depends on the value of l
iii. m=0 to \pm l
Which one is correct?","চৌম্বক কোয়ান্টাম সংখ্যা-
 i. ইলেকট্রনের ঘূর্ণন প্রকাশক
 ii. m এর মান l এর উপর নির্ভরশীল
 iii. m = 0 থেকে \pm l
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
Hybridization of the central atom of CO_{2}-,CO_{2} যৌগের কেন্দ্রীয় মৌলের সংকরায়ন হলো-,sp,sp^{2},sp^{3},sp^{3}d,sp,sp^{2},sp^{3},sp^{3}d,a
"Which one of the following is the produced vinegar from germinationed
barley?",অংকুরিত বার্লি হতে প্রস্তুতকৃত ভিনেগার কোনটি?,Cider,Spirit,Malt,Starch,সাইডার,স্পিরিট,মল্ট,স্টার্চ,c
Which one is the symbol of the red colour solution as lile as blood?,নিচের কোনটি রক্তের ন্যায় লাল দ্রবণের সংকেত?,Fe(CNS)_{3},Fe(CNS)_{2},NH_{2}CNS,KCNS,Fe(CNS)_{3},Fe(CNS)_{2},NH_{4}CNS,KCNS,a
