Which one of the following is increased in the blood due to kidney failure?,কিডনি বিকল হলে রক্তে কোনটির পরিমাণ বৃদ্ধি পায়?,Amino acid,Uric acid,Urochrome,Creatinine,অ্যামাইনো এসিড,ইউরিক এসিড,ইউরোক্রোম,ক্রিয়েটিনিন,d
"Rashed ate bread with fried egg for breakfast. The amount of carbohydrate is 60 gm, protein is 18 gm and fat is 5 gm.
How many kilocalories does Rashed get from his breakfast?","রাশেদ সকালের নাস্তায় ডিম ভাজি দিয়ে রুটি খেল এতে শর্করা 60 gm, আমিষ 18 gm এবং স্নেহ পদার্থ 5 gm.
 
 রাশেদ নাস্তা থেকে মোট কত কিলোক্যালরি শক্তি পাবে?",327,357,393,429,327,357,393,429,b
Which is the source of di-saccharide?,দ্বি-শর্করার উৎস কোনটি?,Sugar and milk,Sugar and potato,Milk and honey,Wheat (ata) and sugar,চিনি ও দুধ,চিনি ও আলু,দুধ ও মধু,আটা ও চিনি,a
"E plant: Phosphoglyceric acid is the first stable compound of CO_2 reduction.
F plant: Oxaloacetic acid is the first stable compound of CO_2 reduction.
E plant is-
i. spinach
ii. maize
iii. potato
Which one is correct?","E উদ্ভিদঃ CO_{2} বিজারণে ১ম স্থায়ী পদার্থ ফসফোগ্লিসারিক এসিড
 F উদ্ভিদঃ CO_{2} বিজারণে ১ম স্থায়ী পদার্থ অক্সালো এসিটিক এসিড
 
 E উদ্ভিদ হলো-
 i. পালং শাক
 ii. ভুট্টা
 iii. আলু
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"E plant: Phosphoglyceric acid is the first stable compound of CO_2 reduction.
F plant: Oxaloacetic acid is the first stable compound of CO_2 reduction.
Which one is applicable for E and F planht?
i. More carbohydrate is produced in plant E.
ii. C_3 and C_4 cycle is happened simultaneoulsy in plant F.
iii. The production of plant E is less than plant F.
Which one is correct?","E উদ্ভিদঃ CO_{2} বিজারণে ১ম স্থায়ী পদার্থ ফসফোগ্লিসারিক এসিড
 F উদ্ভিদঃ CO_{2} বিজারণে ১ম স্থায়ী পদার্থ অক্সালো এসিটিক এসিড
 
 E ও F উদ্ভিদের ক্ষেত্রে প্রযোজ্য হলো-
 i. E উদ্ভিদে শর্করা বেশি উৎপন্ন হয়
 ii. F উদ্ভিদে একই সাথে C_{3} ও C_{4} চক্র সংঘটিত হয়
 iii. E উদ্ভিদের উৎপাদন F উদ্ভিদের তুলনায় কম 
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Tunica media is made of what?,টিউনিকা মিডিয়া কী দিয়ে তৈরি?,Voluntary muscle,Simple eptihelia tissue,Fibrous connective tissue,Circular involuntary muscle,ঐচ্ছিক পেশি,সরল আবরণী কলা,তন্তুময় যোজক কলা,বৃত্তাকার অনৈচ্ছিক পেশি,d
What is the main component of chlorophyll?,ক্লোরোফিলের প্রধান উপকরণ কোনটি?,Ca and Fe,Mg and N,Fe and K,Na and Mg,Ca ও Fe,Mg ও N,Fe ও K,Na ও Mg,b
Stroma is the part of which?,স্ট্রোমা কোনটির অংশ?,Cell wall,Chloroplast,Mitochondria,Ribsome,কোষপ্রাচীর,ক্লোরোপ্লাস্ট,মাইটোকন্ড্রিয়া,রাইবোসোম,b
What will happen if the grapes are soaked into honey?,মধুতে আঙ্গুর ডুবিয়ে রাখলে কী হবে?,External osmosis,Internal osmosis,Imbibition,Diffusion,বহিঃঅভিস্রবণ,অন্তঃঅভিস্রবণ,ইমবাইবিশন,ব্যাপন,a
Which food will increase the acidity of urine if it is taken excessively?,কোন খাবার অতিরিক্ত গ্রহণে মূত্রের অম্লতা বৃদ্ধি পায়?,Fish,Rice,Butter,Mango,মাছ,ভাত,মাখন,আম,a
Which science does deal with the technology and industry of medicine?,ঔষধ শিল্প ও প্রযুক্তি বিষয়ক বিজ্ঞান কোনটি?,Forestry,Pharmacy,Biotechnology,Medical science,Forestry,Pharmacy,Biotechnology,Medical Science,b
"Due to the constipation, Pragya started to take special  food on the advice of the doctor.
What could be the food Pragya can take?","প্রজ্ঞার কোষ্ঠকাঠিন্য হওয়ায় ডাক্তারের পরামর্শে সে বিশেষ ধরনের খাদ্য গ্রহণ শুরু করলো।
 
 প্রজ্ঞার আহারকৃত খাদ্যটি কী হতে পারে?",Fish,Meat,Rice,Vegetable,মাছ,মাংস,ভাত,সবজি,d
"Due to the constipation, Pragya started to take special  food on the advice of the doctor.
The element of the food Pragya has taken is-
i. cellulose
ii. lignin
iii. starch
Which one is correct?","প্রজ্ঞার কোষ্ঠকাঠিন্য হওয়ায় ডাক্তারের পরামর্শে সে বিশেষ ধরনের খাদ্য গ্রহণ শুরু করলো।
 
 প্রজ্ঞার আহারকৃত খাদ্যের উপাদান মূলত-
 i. সেলুলোজ
 ii. লিগনিন
 iii. স্টার্চ
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the percentage of carbon dioxide in water?,পানিতে কার্বন ডাই অক্সাইডের পরিমাণ শতকরা কত ভাগ?,0.30%,0.03%,0.00%,0.00%,0.30%,0.03%,0.00%,0.00%,a
The first stable substance of which plant is phosphoglyceric acid?,কোন উদ্ভিদে প্রথম স্থায়ী পদার্থ ফসফোগ্লিসারিক এসিড?,Sugarcanes,Maize,Jackfruit,Motha grass,আখ,ভুট্টা,কাঁঠাল,মুথা ঘাস,c
"The symptomes of AIDS-
i. fast decrease of weight of the victim
ii. pain in armpit and neck
iii. inflammation of bone joints
Which one is correct?","এইডস রোগের লক্ষণ হলো-
 i. রোগীর ওজন দ্রুত কমতে থাকে
 ii. ঘাড় এবং বগলে ব্যাথা অনুভব হয়
 iii. গিট ফুলে যায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
For how many approximate weeks does embryo stay in mother's uterus?,ভ্রূণ মাতৃগর্ভে গড়ে প্রায় কত সপ্তাহ অবস্থান করে?,28-30,32-34,34-36,38-40,২৮ - ৩০,৩২ - ৩৪,৩৪ - ৩৬,৩৮ - ৪০,d
How many molecules of ATP is produced from 3 molecules of FADH_{2}?,৩ অঙ্গাণু FADH_{2} হতে কত অণু ATP তৈরি হয়?,3,6,9,12,3,6,9,12,b
"In photosynthesis-
i. a bridge is developed between sunlight and living things
ii. all living things can produce their own food
iii. solar energy is transformed into chemical energy
Which one is correct?","সালোকসংশ্লেষণ-এ-
 i. সূর্যালোক ও জীবনের মধ্যে সেতুবন্ধন সৃষ্টি হয়
 ii. সকল জীবই তার নিজের খাদ্য তৈরি করতে পারে
 iii. সৌরশক্তি রাসায়নিক শক্তিতে পরিণত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
How many A is the total length of 40 cycles of DNA double helix?,DNA ডাবল হেলিক্সের ৪০ টি পূর্ণ ঘূর্ণনের দৈর্ঘ্য কত \AA ?,136.0\AA,860.0\AA,1360.0\AA,1460.0\AA,১৩৬.০ \AA,৮৬০.০ \AA,১৩৬০.০ \AA,১৪৬০.০ \AA,c
"Chromoplast-
i. is found in the root of carrot
ii. produces food
iii. helps in pollination
Which one is correct?","ক্রোমোপ্লাস্ট-
 i. গাজরের মূলে পাওয়া যায়
 ii. খাদ্য তৈরি করে
 iii. পরাগায়নে সাহায্য করে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
The cell wall of which is made of chitin?,নিচের কোনটির কোষপ্রাচীর কাইটিন দিয়ে তৈরি?,Bacteria,Algae,Virus,Eungi,ব্যাকটেরিয়া,শৈবাল,ভাইরাস,ছত্রাক,d
In which of the following does internal fertilization occurs?,নিচের কোনটিতে অন্তঃনিষেক ঘটে?,Shark,Catla,Ruhi,Toad,হাঙ্গর,কাতলা,রুই,ব্যাঙ,a
From which gland does thyroxine hormone secret?,কোন গ্রন্থি হতে থাইরক্সিন হরমোন নিঃসৃত হয়?,Pituitary,Adrenal,Thyroid,Testis,পিটুইটারি,অ্যাড্রেনাল,থাইরয়েড,শুক্রাশয়,c
Which one of the following is absent in RNA?,RNA-তে কোনটি অনুপস্থিত?,Thymin,Guanine,Cytosine,Uracil,থায়ামিন,গুয়ানিন,সাইটোসিন,ইউরাসিল,a
Which of the following plays more role in absorption of water and mineral salt?,পানি ও খনিজ লবণ পরিবহনে অধিক ভূমিকা রাখে কোনটি?,Tracheid,Sieve cell,Vessel,Companion cell,ট্রাকিড,সিভকোষ,ভেসেল,সঙ্গীকোষ,c
Which one of the following controls all matabolic activities of a cell?,কোষের যাবতীয় বিপাকীয় কাজ নিয়ন্ত্রণ করে কোনটি?,Plastid,Nucleus,Mitochondria,Golgi body,প্লাস্টিড,নিউক্লিয়াস,মাইটোকন্ড্রিয়া,গলজি বস্তু,b
Which one of the following is an insect  pollinated flower?,কোনটি পতঙ্গ পরাগী ফুল?,Hibiscus,Kadam,Shimul,Taro,জবা,কদম,শিমুল,কচু,a
Because of the presence of which of the following does blood become red?,নিচের কোনটির উপস্থিতির কারণে রক্ত লাল হয়?,Potassium,Calcium,Iron,Magnesium,পটাশিয়াম,ক্যালসিয়াম,আয়রন,ম্যাগনেসিয়াম,c
"Adenosine + Pi \rightarrow ADP + Pi \rightarrow Y.

How many phosphates take part in the first stage of the process mentioned in the stem?","অ্যডিনোসিন + Pi \rightarrow ADP + Pi \rightarrow Y
 
 উদ্দীপকে উল্লিখিত প্রক্রিয়ার প্রথম ধাপে কয়টি ফসফেট অংশগ্রহণ করে?",1,2,3,4,1,2,3,4,a
"Adenosine + Pi \rightarrow ADP + Pi \rightarrow Y.

How many kilocalorie energy is produced from 'Y' compound produced from one molecule of glucose in the process of anaerobic respiration?","অ্যডিনোসিন + Pi \rightarrow ADP + Pi \rightarrow Y
 
 অবাত শ্বসন প্রক্রিয়ায় ১ অণু গ্লুকোজ হতে যতটি Y যৌগ উৎপন্ন হয় তা হতে কত কিলোক্যালরি শক্তি উৎপন্ন হয়?",10.6,12.6,13.6,14.6,10.6,12.6,13.6,14.6,d
Which is a contracting and expending tissue?,কোনটি সংকোচন ও প্রসারণশীল টিস্যু?,Muscular tissue,Epithelial tissue,Connective tissue,Nerve tissue,পেশি টিস্যু,আবরণী টিস্যু,যোজক টিস্যু,স্নায়ু টিস্যু,a
What is the cell wall of the fungal made up of?,ছত্রাকের কোষপ্রাচীর কী দিয়ে তৈরি?,Pectin,Lipid,Chitin,Polysaccaride,পেকটিন,লিপিড,কাইটিন,পলিস্যাকারাইড,b
For increase of which gas in air the rate of respiration becomes lower?,বায়ুতে কোন গ্যাসের ঘনত্ব বেড়ে গেলে শ্বসনের হার কমে যায়?,O_{2},CO_{2},N_{2},CH_{4},O_{2},CO_{2},N_{2},CH_{4},b
What is the name of the liquid stored within the intercellular space of the human body?,মানবদেহের বিভিন্ন টিস্যুর মধ্যবর্তী ফাঁকা স্থানের জলীয় পদার্থের নাম কী?,Lymph,Platelet,Synapase,Dendrite,লসিকা,প্লাটিলেট,সিন্যাপস,ডেনড্রাইট,a
For increase of which material is the kindney damaged?,রক্তে কোন পদার্থের বৃদ্ধিতে কিডনি বিকল হয়ে যায়?,Urochrome,Creatinine,Uric acid,Fats,ইউরোক্রোম,ক্রিয়েটিনিন,ইউরিক এসিড,ফ্যাট,b
"The xylem fiber cells are-
i. long, the ends of the cells are tapereds
ii. no protoplasm
iii. provide rigidity
Which one is correct?","জাইলেম ফাইবার কোষগুলো-
 i. লম্বা, দুপ্রান্ত সরু
 ii. প্রোটোপ্লাজম থাকে না
 iii. দৃঢ়তা প্রদান করে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is the name of that insoluble protein that can create thread-like strands very quickly?,"রক্তের অদ্রবণিয় প্রোটিন, যা দ্রুত সুতার মতো জাল তৈরি করে, তাকে কী বলে?",Thrombosplastin,Neutrophil,Basophil,Fibrin,থ্রম্বোপ্লাস্টিন,নিউট্রোফিল,বেসোফিল,ফাইব্রিন,d
People belonging which group is known as the universal donor?,কোন গ্রুপধারী ব্যক্তিদেরকে সর্বজনীন রক্তদাতা বলা হয়?,A,B,AB,O,A,B,AB,O,d
"Where did lives first originated from?
i. Sea water 
ii. Nucleoprotein
iii. Methane, ammonia, etc.
Which one is correct?","পৃথিবীতে জীবনের উৎপত্তির মূল কারণ হলো-
 i. সমুদ্রের পানি
 ii. নিউক্লিওপ্রোটিন
 iii. মিথেন, অ্যামেনিয়া ইত্যাদি
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
The Endosperm cells are-,এন্ডোস্পার্ম কোষ হলো-,haploid,diploid,triploid,terraploid,হ্যাপ্লয়েড,ডিপ্লয়েড,ট্রিপ্লয়েড,টেট্রাপ্লয়েড,c
At the last stage of cleavage the mass of cell of growing embro is called-,কোষ বিভাজনের শেষ পর্যায়ের গঠনোম্মুখ ভ্রূণ জরায়ুতে পৌছানোর পর্যায়কে কী বলে?,implantaion,zygote,blastocyst,cleavage,ইমপ্লান্টেশন,জাইগোট,ব্লাস্টোসিস্ট,ক্লিভেজ,c
"C_{6}H_{12}O_{6}+O_{2}\xrightarrow{enzyme}CO_{2}+H_{2}O+ATP
How many ATP are produced in mentioned reaction?","C_{6}H_{12}O_{2} \xrightarrow{enzyme}CO_{2}+H_{2}O+ATP 
 
 উল্লিখিত বিক্রিয়ায় মোট কতটি ATP উৎপন্ন হয়?",38,48,58,68,38,48,58,68,a
"C_{6}H_{12}O_{6}+O_{2}\xrightarrow{enzyme}CO_{2}+H_{2}O+ATP
The reaction-
i. helps in plants growth
ii. produces energy
iii. occurs in some microorganism.
Which one is correct?","C_{6}H_{12}O_{2} \xrightarrow{enzyme}CO_{2}+H_{2}O+ATP 
 
 বিক্রিয়াটি-
 i. উদ্ভিদের বৃদ্ধিতে সহায়তা করে
 ii. প্রচুর পরিমাণ শক্তি উৎপন্ন করে
 iii. কিছু কিছু অণুজীবে সংঘটিত হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
What is the percentage of water in plasma?,রক্তরসের মধ্যে শতকরা কতভাগ পানি থাকে?,80-82,85-87,88-90,91-92,৮০-৮২,৮৫-৮৭,৮৮-৯০,৯১-৯২,d
Which element is essential for structure and preserving plant cells?,উদ্ভিদকোষের ক্লোরোপ্লাস্ট গঠন ও সংরক্ষণের জন্য কোন উপাদানটি বেশি প্রয়োজনীয়?,Boron,Chlorine,Manganese,Potassium,বোরন,ক্লোরিন,ম্যাংগানিজ,পটাশিয়াম,a
Which process was dicovered by the British scientist Blackman?,ইংরেজ শরীরতত্ত্ববিদ ব্ল্যাকম্যান কর্তৃক আবিষ্কৃত প্রক্রিয়া কোনটি?,Transpiration,Imbibition,Photosynthesis,Diffusion,প্রস্বেদন,ইমবাইশিন,সালোকসংশ্লেষণ,ব্যাপন,c
"The gland that produces reproductive hormones is-
i. Islets of Langerhans
ii. Thyroid gland
iii. Pituitary gland
Which one is correct?","মানব শরীরে প্রজন সংক্রান্ত হরমোন নিঃসরণকারী গ্রন্থি-
 i. আইলেটস অফ ল্যাঙ্গারহ্যন্স
 ii. থাইরয়েড
 iii. পিটুইটারি
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"The basic elements of glucose are Hydrogen, Oxygen and the other is-","শর্করার মৌলিক উপাদান হাইড্রোজেন, অক্সিজেন এবং অন্যটি কী?",Nitrogen,Carbon,Sodium,Iron,নাইট্রোজেন,কার্বন,সোডিয়াম,আয়রন,b
"For the disorder of different organs Dyspepsia, Dysentery, Constipation, Gastric and other diseases are occured.
What is the name of the germ that causes Dysentery?","মানব শরীরে বিভিন্ন ধরনের আন্ত্রিক সমস্যার কারণে অজীর্ণতা, আমাশয়, কোষ্ঠকাঠিন্য, গ্যাস্ট্রিক ইত্যাদি রোগ হয়।
 
 আমাশয় রোগের জীবাণুর নাম কী?",TMV,Shigella,Ameoba,H. Pylori,TMV,Shigella,Ameoba,H. pylori,b
"For the disorder of different organs Dyspepsia, Dysentery, Constipation, Gastric and other diseases are occured.
These diseases cause-
i. eye sight reduction
ii. abdominal pain, indigestion, stomach infection
iii. constipation, difficulty in passing stool
Which one is correct?","মানব শরীরে বিভিন্ন ধরনের আন্ত্রিক সমস্যার কারণে অজীর্ণতা, আমাশয়, কোষ্ঠকাঠিন্য, গ্যাস্ট্রিক ইত্যাদি রোগ হয়।
 
 উল্লিখিত রোগগুলোর ফলে-
 i. চোখের দৃষ্টি কমে যায়
 ii. পেটে ব্যাথা, বদহজম ও পাকস্থলীতে সংক্রমণ হয়
 iii. পায়খানা শক্ত হয়, মলত্যাগে কষ্ট হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
The deficiency of vitamin D causes the disease?,ভিটামিন 'ড' এর অভাবে কোন রোগটি হয়?,Rickets,Anemia,Goiter,Arthritis,রিকেটস,রক্তশূন্যতা,গয়টার,আর্থ্রাইটিস,a
"Generally Anaerobic respiration occurs-
i. Yeast
ii. Alage
iii. Bacteria
Which one is correct?","অবাত শ্বসন সাধারণত দেখা যায়-
 i. ইস্টে
 ii. শৈবালে
 iii. ব্যাকটেরিয়ায়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
How many milliliter of urine does an adult man expel daily?,একজন সাধারণ মানুষ প্রতিদিন প্রায় কত মিলিলিটার মূত্র ত্যাগ করেন?,1400,1500,1600,1700,1400,1500,1600,1700,b
Which protects the cell from germs?,কোষকে জীবাণুর আক্রমণ থেকে রক্ষা করে কোনটি?,Nucleus,Mitochondria,Golgi body,Lysosome,নিউক্লয়াস,মাইটোকন্ড্রিয়া,গলজি বডি,লাইসোজোম,d
Which is endocrine gland?,কোনটি অন্তঃক্ষরা গ্রন্থি?,Pancreas,Liver,Pituitary,Salivary gland,অগ্ন্যাশয়,যকৃত,পিটুইটারি,লালাগ্রন্ত্রি,c
Where is found in phloem fiber?,কোনটিতে ফ্লোয়েম ফাইবার পাওয়া যায়?,Jute,Sugarcane,Maize,Mustard,পাট,আখ,ভুট্টা,সরিষা,a
Stratified epithelial tissue found in which of the animals skin?,স্ট্র্যাটিফাইড আবরণী টিস্যু থাকে কোন প্রাণীর ত্বকে?,Earthworm,Snake,Cockroach,Grasshopper,কেঁচো,সাপ,তেলাপোকা,ঘাসফড়িং,b
What is the total amount of energy produced when one molecule of glucose is completely oxidized in aerobic respiration?,সবাত শ্বসনে এক অণু গ্লুকোজ সম্পূর্ণ জারিত হয়ে মোট কত শক্তি উৎপন্ন হয়?,668 K Cal,678 K Cal,686 K Cal,866 K Cal,668 k Cal,678 k Cal,686 k Cal,866 k Cal,c
"Rakib observed in he afternoon that the tree in his tub was drying up due to lack of water. The tree regained its vitality after he provided water.
Which of the following transports that substance to the plant?","রকিব বিকেল বেলা লক্ষ করল যে তার টবের গাছটি পানির অভাবে শুকিয়ে যাচ্ছে। সে পানি প্রদানের কিছুক্ষণ পরে গাছটি পুনরায় সজীবতা ফিরে পেল।
 
 উদ্ভিদে উক্ত পদার্থ পরিবহন করে কোনটি?",Sieve cell,Vessels,Companion cell,Phloem parenchyma,সীভকোষ,ভেসেল,সঙ্গীকোষ,ফ্লোয়েম প্যারেনকাইমা,b
Which is the optimum temperature for respiration?,শ্বসনের জন্য উত্তম তাপমাত্রা নিচের কোনটি?,10\degree C - 35\degree C,15\degree C - 40\degree C,20\degree C - 45\degree C,25\degree C - 50\degree C,10\degree C - 35\degree C,15\degree C - 40\degree C,20\degree C - 45\degree C,25\degree C - 50\degree C,c
Which of the following plants has a higher rate of photosynthesis?,নিচের কোন উদ্ভিদে সালোকসংশ্লেষণ হার বেশি?,Banyan tree,Jack fruit,Guava,Water hyacinth,বট গাছ,কাঁঠাল,পেয়ারা,কচুরিপানা,d
Placenta is formed in how many weeks after fertilization?,নিষেকের কত সপ্তাহের মধ্যে অমরা গঠিত হয়?,12,11,10,9,12,11,10,9,a
"Mr. X has a continuous fever for more than one month, diarrhoea and dry cough. He feels pain in neck and armpit. The face has become rough. When he went to the doctor's chamber, the doctor examined him and said that he was suffering from a disease which no medicine has been discovered yet.
Mr. X has affected by which germ?","মি. X এর একটানা এক মাসেরও বেশি জ্বর, পাতলা পায়খানা, এবং শুকনো কাশি। তার ঘাড় ও বগলে ব্যাথা অনুভূত হয়। মুখমণ্ডল খসখসে হয়ে গেছে। চিকিৎসকের কাছে গেলে চিকিৎসক পরীক্ষা-নিরীক্ষা করে জানালেন, তিনি এমন এক রোগে আক্রান্ত হয়েছেন, যার ঔষধ এখনো আবিষ্কার হয়নি।
 
 মি. X কোন জীবাণু দ্বারা আক্রান্ত হয়েছেন?",Phemococcus,Mycobacterium tuberculosis,Human Immune Deficiency Virus,Hepatitis B virus,Pneumococcus,Mycobacterium tuberculosis,Human Immune Deficiency virus,Hepatitis B vierus,c
"Mr. X has a continuous fever for more than one month, diarrhoea and dry cough. He feels pain in neck and armpit. The face has become rough. When he went to the doctor's chamber, the doctor examined him and said that he was suffering from a disease which no medicine has been discovered yet.
As a result of that disease-
i. the white blood cells are destroyed
ii. antibody production of cell is not disrupted
iii. does not spread directly from the infected father to the child
Which of the following is correct:","মি. X এর একটানা এক মাসেরও বেশি জ্বর, পাতলা পায়খানা, এবং শুকনো কাশি। তার ঘাড় ও বগলে ব্যাথা অনুভূত হয়। মুখমণ্ডল খসখসে হয়ে গেছে। চিকিৎসকের কাছে গেলে চিকিৎসক পরীক্ষা-নিরীক্ষা করে জানালেন, তিনি এমন এক রোগে আক্রান্ত হয়েছেন, যার ঔষধ এখনো আবিষ্কার হয়নি।
 
 উক্ত রোগের ফলে-
 i. রক্তের শ্বেতকণিকা নষ্ট হয়ে যায়
 ii. কোষের এন্টিবডি উৎপাদন ব্যহত হয় না
 iii. আক্রান্ত বাবা থেকে সরাসরি সন্তানে ছড়ায় না
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which part is converte into seed?,কোন অংশটি বীজে রূপান্তরিত হয়?,Ovule,Filament,Stigma,Floral axix,ডিম্বক,পরাগদণ্ড,গর্ভমুন্ড,পুষ্পাক্ষ,a
In which process gamete is produced,কোন পদ্ধতিতে গ্যামেট সৃষ্টি হয়?,Fragmentation,Amitosis,Mitosis,Meisosis,Fragmentation,Amitosis,Mitosis,Meiosis,d
Which is the air pollinated flower?,বায়ুপরাগী ফুল কোনটি?,Kodom,Shimul,Pumpkin,Rice,কদম,শিমুল,কুমড়া,ধান,d
Which is the main component of heredity?,কোনটি বংশগতির প্রধান উপাদান?,Chromosome,Centrosme,Lysocome,Nucleolus,ক্রোমোসোম,সেন্ট্রোজোম,লাইসোজোম,নিউক্লিওলাস,a
"Rafiq crossed between a tall and a short bean plant in his garden to test the subject of heredity. He has taken appropriate measures to prevent any other pollen.
What percentage of tall trees cna be found in the 1st generation?","রফিক বংশগতির বিষয়টি পরীক্ষার জন্য তার বাগানে একটি লম্বা ও খাটো শিম গাছের মধ্যে সংকরায়ন ঘটালো। অন্য কোনো পরাগরেণু যাতে না আসতে পারে, সেজন্য যথাযথ ব্যবস্থা নিল।
 
 প্রথম বংশধরে শতকরা কতভাগ লম্বা গাছ পাওয়া যাবে?",100,75,50,25,100,75,50,25,a
"Rafiq crossed between a tall and a short bean plant in his garden to test the subject of heredity. He has taken appropriate measures to prevent any other pollen.
Produced in the 2nd generation-
i. 50% tall trees
ii. 25% short trees
iii. tall : short 3 : 1
Which of the following is correct?","রফিক বংশগতির বিষয়টি পরীক্ষার জন্য তার বাগানে একটি লম্বা ও খাটো শিম গাছের মধ্যে সংকরায়ন ঘটালো। অন্য কোনো পরাগরেণু যাতে না আসতে পারে, সেজন্য যথাযথ ব্যবস্থা নিল।
 
 দ্বিতীয় বংশধরে উৎপন্ন-
 i. ৫০% গাছ লম্বা
 ii. ২৫% গাছ খাটো
 iii. লম্বা : খাটো = ৩ : ১
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which of the following is destroyed in thalassemia patients?,থ্যালাসেমিয়া রোগাক্রান্তদের ক্ষেত্রে নিচের কোনটি নষ্ট হয়ে যায়?,White Blood Cell,Red Blood Cell,Platelets,Plasma,শ্বেত রক্তকণিকা,লোহিত রক্তকণিকা,অনুচক্রিকা,প্লাজমা,b
What is the reason for the extinction of North and South American Koel brids?,উত্তর ও মধ্য আমেরিকার কোয়েল পাখি বিলুপ্ত হওয়ার কারণ কোনটি?,Variation of variants,Inter specific struggle,Intra specific struggle,Struggle with environment,প্রকরণের পরিবর্তন,আন্তঃপ্রজাতিক সংগ্রাম,অন্তঃপ্রজাতিক সংগ্রাম,পরিবেশের সাথে সংগ্রাম,d
Which of the following species maintains characteristic purity and the ability of adaptatio is reduced?,নিচের কোন প্রজাতির চরিত্রগত বিশুদ্ধতা বজায় থাকে এবং অভিযোজন ক্ষমতা কম?,Mustard,Papaya,Shimul,Kodom,সরিষা,পেঁপে,শিমুল,কদম,a
