English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which hormone regulates the secretion of gastric HCI?,পাকস্থলীর HCl এসিড নিঃসরণ নিয়ন্ত্রণ করে কোন হরমোন?,Gastrin,Secreting,Cholecystokinin,Enterokinin,গ্যাস্ট্রিন,সিক্রেটিন,কেলাসস্টোকাইনিন,এন্টারকাইনিন,a
Antibodyless blood group is-,এন্টিবডি হীন রক্ত গ্রুপ হচ্ছে,A,B,AB,O,A,B,AB,O,c
Which following organ acts as reflexive organ?,নিচের কোনটি প্রতিসরণশীল অঙ্গ হিসেবে কাজ করে?,Crystalline cone,Crystaline cone cell,Rahabdome,Corneagen cell,ক্রিস্টালাইন কোণ,ক্রেস্টা লাইন কোণ কোষ,র‌্যাবডম কোষ,কর্নিয়া জেন কোষ,a
If the parents blood group is 'AB' what rates of blood group 'AB' will be expressed in children?,পিতা ও মাতার উভয়ের রক্ত গ্রুপ AB হলে সন্তানদের মধ্যে AB রক্ত গ্রুপ কি হারে প্রকাশ পাবে?,25%,50%,75%,100%,25%,50%,75%,100%,b
Which blood cells secrets heparin?,হেপারিন নিঃসরণ করে কোন রক্ত কণিকা?,Neutrophil,Basophil,Eosinophil,Lymphocytes,নিউট্রোফিল,বেসোফিল,ইউসি নো ফিল,লিম্ফোসাইট,c
"Number of gill slits in chondrichtyes,are-",Chondrichthyes শ্রেণির প্রণিদের ফুলকার রন্ধ্রের সংখ্যা-,4−5 paira,5−12 pairs,5−7 pairs,5−15 pairs,৪-৫ জোড়া,৫-১২ জোড়া,৫-৭ জোড়া,৫-১৫ জোড়া,c
Which phylum indicates celluar grade organizatib?,কোষীয় গঠন মাত্রার প্রাণী পর্ব কোনটি?,Cnidaria,Porifera,Platyhelminthes,Nematoda,Cnidria,Porifera,Platyhelminthes,Nematoda,b
Number of the spiracles in abdominal region of grasshopper are-,ঘাসফড়িং এর উদর অঞ্চলে কয়টি শ্বাস রন্ধ্র থাকে?,4,8,20,16,4,8,20,16,d
Bosy mass indox of Robin is 38.which one of the following is appropriate for Robin?,রবিনের দেহের ওজন সূচক ৩৮ তার ওজনকে কে কি বলা হয়?,Frist stage obesity,Secomd stage obesity,Third stage obesity,Over weight,স্থুলতার ১ম পর্যায়,স্থুলতার ২য় পর্যায়,স্থুলতার ৩য় পর্যায়,অতিরিক্ত ওজন,b
"To classify which phylum,'tagmatiztion 'is important?",অঞ্চলায়ন' কোন পর্বের শ্রেণীবিন্যাসের জন্য গুরুত্বপূর্ণ?,Mollusca,Arthropoda,Annelida,Echinodermata,Mollusca,Arthropoda,Anneilia,Echainodarmata,b
"Radula is present in-
 i.Octopus
 ii.Leech
 iii.Pila
 Which one is correct?","র‌্যাডুলা কোন কোন প্রানীতে দেখা যায়?
 i. অক্টোপাস
 ii. জোক
 iii. শামুক
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"X\xrightarrow[]{Lypase}Y+Z
Y+Z of the stem are-","X \xrightarrow{লাইপেজ} Y - Z
 
 উদ্দীপকের Y - Z হলো-",Maltose+glycerol,Glycerol+Phosphoric acid,Amino acid+glycerol,Fatty acid+glycerol,মল্টোজ+গ্লিসারল,গ্লিসারল+ফসফরিক এসিড,গ্লিসারোল+ অ্যামাইনোট এসিড,ফ্যাটি অ্যাসিড+গ্লিসারোল,d
Who put forth the'theory of natural selection'?,প্রাকৃতিক নির্বাচন' মতবাদ এর প্রবক্তা কে?,Mendel,Darwin,Lamarck,Carolus Linnaeus,মেন্ডেল,ডারউইন,ল্যামার্ক,ক্যারোলাস লিনিয়াস,b
Which ratio is appropiate for duplicate recessive epistasis?,জৈব প্রচ্ছন্ন এপিস্ট্যাটিস এর অনুপাত কোনটি?,3:01,13:03,9:07,2:01,৩:১,১৩:৩,৯:৭,২:১,c
Which component clots blood?,রক্ত জমাট বাধার উপাদান কোনটি?,Neutrophil,Lymphochyte,Eosinophil,Thrombocyte,নিউট্রোফিল,লিম্ফোসাইট,ইউ সিনোফিল,থ্রম্ব সাইট,d
"P\rightarrow DdEe\times ddEE
 Which is the possiblity of producing deaf and dump offspring by above mentioned cross?","P \rightarrow DdEe \times ddEE
 
 উদ্দীপকে উল্লিখিত ক্রস দ্বারা মূক ও বধির সন্তান হবার সম্ভাবনা কত?",25%,50%,75%,100%,25%,50%,75%,100%,b
When did Archeopteryx evolved?,কোন যুগে উদ্ভব হয়েছিল?,Jurassic,Carboniferous,Ordovician,Cambrian,জুরাসিক,কার্বোনিফেরাস,অর্ডেোভিসিয়ান,ক্যামব্রিয়ান,a
Which artery carries the oxygenated blood in the stomach and intestine of Rui fish?,রুই মাছের পাকস্থলী ও অন্ত্রে কোন ধমনির মাধ্যমে রক্ত সংবহিত হয়?,Subclavian artery,Siliaco mesenteric artery,Parietal artery,Iliac artery,সাবক্ল্যাভিয়ান ধমনি,সিলিয়াকো মেসেন্টারিক ধমনি,প্যারাইটাল ধমনি,ইলিয়াক ধমনি,b
Which covers the value of heart?,কোনটি হৃদপিণ্ডের কপাটিকা গুলো আবৃত রাখে?,Pericardium,Epicardium,Myocardium,Endocardiem,পেরি কারডিয়াম,এপি কার্ডিয়াম,মায়োকার্ডিয়াম,এন্ডোকার্ডিয়াম,d
"Function of the labrum are-
 i. food cutting
 ii. Holding food
 iii. Tasting food
 Which one is correct?","ল্যাব্রাম এর কাজ হল-
 i. খাদ্য বস্তু কাটা
 ii. খাদ্য ধরে রাখা
 iii. স্বাদ গ্রহণ করা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Name of the millk protein is -,দুধের আমিষের নাম কি?,renin,erepsin,lactose,casein,রেনিন,ইনসুলিন,ল্যাকটোজ,কেসিন,d
The pathway of blood flow in systemic circulation is-,সিস্টেমিক সংবহনে রক্ত প্রবাহের গতিপথ,left ventricle→Aorta→Tissue and organ,right ventricle→Lung →Alveolus,left ventricle→Coronary artery→Cardiac muscle,Lung →Veni→Left ventricle,বাম নিলয় \rightarrow অ্যাওর্টা \rightarrow কলা ও অঙ্গ,ডান নিলয় \rightarrow ফুসফুস \rightarrow অ্যালভিওলাস,বাম নিলয় \rightarrow করোনারি ধমনি \rightarrow হৃদপেশি,ফুসফুস \rightarrow শিরা \rightarrow বাম নিলয়,a
Which one of the following is natural pacemaker?,কোনটি প্রাকৃতিক পেসমেকার,Muscle of right aurocle,Muscle of left auriccle,Muscle of Aorte,Joint muscle of right and left auricle,ডান অলিন্দের পেশী খন্ড,বাম অলিন্দের পেশী খন্ড,অ্যাওর্টার পেশিখন্ড,ডান ও বাম অলিন্দের সংযোগস্থলের বেশি খন্ড,a
Which gland secrets ptyalin?,কোন গ্রন্থি থেকে টায়ালিন ক্ষরিত হয়?,Gastric gland,Salivary gland,Pancreas,Liver,গ্যাস্ট্রিক গ্রন্থি,লালা গ্রন্থি,অগ্নাশয়,যকৃত,b
Animals of which phylum are know as 'sea rain forest'?,কোন পর্বের প্রাণীরা সমুদ্রের rain forest নামে পরিচিত?,Cnidaria,Nematoda,Arthropoda,Echinodermata,Cnidria,Nematoda,Arthropoda,Echainodarmata,a
"Gastric juice-
 i.combination of cellular secretion
 ii. Protects stomach wall
 iii.converts protein into peptone
 Which one is correct?","গ্যাস্ট্রিক জুস-
 i. কোষীয় নিঃসরণের মিশ্রণ
 ii. পাকস্থলির প্রাচীর রক্ষা করে
 iii. প্রোটিনকে পেপটুনে পরিণত করে
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the part of longest bone of human body?,মানুষের বৃহত্তম অস্থির অংশ কোনটি?,Tubercule,Chondyle,Trochlea,Deltoid tubersity,টিউবার্কল,কন্ডাইল,ট্রকলিয়া,ডেল্টয়েড রিজ,b
Which type of cartilage is present in trachea?,শ্বাসনালিতে কোন ধরনের তরুণাস্থি দেখা যায়?,Hyalin,Yellow fibrous,White fibrous,Calcified,হায়ালিন,পীততন্তুময়,শ্বেততন্তুময়,ক্যালসিফাইড,a
Which is the vestigal organ of man?,মানুষের নিষ্ক্রিয় অঙ্গ কোনটি?,Diaphram,Spleen,Coccyx,Ear ossicles,ডায়ফ্রাম,প্লীহা,কক্কিক্স,কর্ণাস্থি,c
"Daughter is colour blind,According to this her parents are-",বর্ণান্ধতায় আক্রান্ত কন্যার বাব-মা হলো-,carrier mother and colour blind father,carrier mother and normal father,carrier mother and colour blind father,colour blind mother and normal father,স্বাভাবিক মা ও বর্ণান্ধ বাবা,বাহক মা ও স্বাভাবিক বাবা,বাহক মা ও স্বাভাবিক বাবা,বর্ণান্ধ মা ও স্বাভাবিক বাবা,c
Whch type of symmetry belongs to Volvox?,Volvox- এ কোন ধরনের প্রতিসাম্য দেখা যায়?,Spherical,Radial,Bilateral,Asymmetry,গোলীয়,অরীয়,দ্বি-পার্শ্বীয়,অপ্রতিসাম্য,a
"Abir found prawn and Rui-fish in the pond.
 Which character is present of the first animal in the stem?","আবির পুকুরের পানিতে চিংড়ি ও রুই মাছ দেখতে পেল।
 
 উদ্দীপকের ১ম প্রাণীতে নিচের কোনটি বিদ্যমান?",skin covered with scales,Joint foot,Excretoryt organ nephridia,Body covered with mantle,দেহত্বক আঁইশে আবৃত,সন্ধিপদী,রেচনঅঙ্গ নেফ্রিডিয়া,ম্যান্টল দ্বারা দেহ আবৃত,b
"Abir found prawn and Rui-fish in the pond.
According to the stem the characters of the last animal-
 i.endo skeleton cartilages
 ii. Skin covered with scales
 iii.caudal fin homecercal
 Which one is correct?","আবির পুকুরের পানিতে চিংড়ি ও রুই মাছ দেখতে পেল।
 
 উদ্দীপকের শেষোক্ত প্রণীটির বৈশিষ্ট্য হলো-
 i. অন্তঃকঙ্কাল তরুণাস্থি নির্মিত
 ii. দেহত্বক আঁইশে আবৃত
 iii. পুচ্ছ পাখনা হোমোসার্কাল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
From which cell produce genital organ in Hydra?,কোন কোষ Hydra-র জননাঙ্গ সৃষ্টি করে?,Epitheliomuscular,Gland,Amoeboid,Interstitial,পেশি আবরণী,গ্রন্থি,ক্ষণপদীয়,ইন্টারস্টিশিয়াল,d
Which one is belong to pritreme?,পেরিট্রিম কোনটিতে অবস্থান করে?,Spiracles,Tracheae,Tracheol cell,Tracheoles,স্পাইরাকলে,ট্রাকিয়ায়,ট্রাকিওল কোষে,ট্রাকিওলে,a
How many chambers of heart in grasshopper?,ঘাসফড়িং এর হৃৎপিন্ডের প্রকোষ্ঠ কয়টি?,2,3,4,7,2,3,4,7,d
"Paracasein\overset{A}{\rightarrow}Peptone
 According to the stem which one is 'A'?","প্যারাক্যাসিন \xrightarrow{A} পেপটোন
 
 উদ্দীপকের A নিচের কোনটি?",Renin,Trysin,Pepsin,Dipeptidase,রেনিন,ট্রিপসিন,পেপসিন,ডাইপেপটাইডেজ,c
"Paracasein\overset{A}{\rightarrow}Peptone
In which juic does the reaction occur in the stem?","প্যারাক্যাসিন \xrightarrow{A} পেপটোন
 
 উদ্দীপকের বিক্রিয়াটি কোন রসের মাধ্যমে ঘটে?",Salivary,Gastric,Intedtinal,Pancreas,লালা,গ্যাস্ট্রিক,আন্ত্রিক,অগ্ন্যাশয়,b
Hexagonal cells exists In which organ?,বহুভুজাকার কোষ দেখা যায় কোনটিতে?,Stomach,Small stomach,Liver,Pancreas,পাকস্থলিতে,ক্ষুদ্রান্ত্রে,যকৃতে,অগ্ন্যাশয়ে,c
"Afferennt artery is-
 i.carries blood from the heart towards the gills
 ii.carries venous blood
 iii.carries oxygeneted blood
 Which one is correct?","অ্যাফারেন্ট (Afferent) ধমনি হলো-
 i. হৃৎপিন্ড থেকে ফুলকায় রক্ত বহন করে
 ii. CO_{2} যুক্ত রক্ত বহন করে
 iii. O_{2} যুক্ত রক্ত বহন করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which blood cells secrets heparin?,হেপারিন নিঃসৃত হয় কোনটি হতে?,Lymphocyte,Neutrophil,Eosinophil,Basophil,লিম্ফোসাইট,নিউট্রোফিল,ইওসিনোফিল,বেসোফিল,d
"Infections diseases of trachea are-
 i. sinusitis
 ii.laryngities
 iii. Bronchities
 Which one is correct?","শ্বাসনালির সংক্রমণ জনিত রোগ হলো-
 i. সাইনুসাইটিস
 ii. ল্যারিনজাইটিস
 iii. ব্রঙ্কাইটিস
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the covering of bone?,শ্বাসনালিতে কোন ধরনের তরুণাস্থি দেখা যায়?,Periosteum,Perichondrium,Pericardium,Pleura,হায়ালিন,পীততন্তুময়,শ্বেততন্তুময়,ক্যালসিফাইড,a
In which step first heart sound is created in cardiac cycle?,হৃদ চক্রের কোন পর্যায়ে প্রথম হৃদ শব্দ সৃষ্টি হয়?,Atrial diastole,Ventricular systole,Atrial systole,Ventricular diastole,অ্যাট্রিয়ামের ডায়াস্টোল,ভেন্ট্রিকলের সিস্টোল,অ্যাট্রিয়ামের সিস্টোল,ভেন্ট্রিকলের ডায়াস্টোল,b
"Rain is 18 years old.His body weight is 45 kg and height is 1.57 meter.
 What is the value of BMI for Rain?","রিয়ান এর বয়স ১৮ বছর তার দৈহিক ওজন ৪৫ কেজি উচ্চতা ১.৫ মিটার।
 
 রিয়ানের BMI এর মান কত?",20,28.66,14.33,18.25,20,28.66,14.33,19.25,d
"Rain is 18 years old.His body weight is 45 kg and height is 1.57 meter.
According to WHO's obesity chart in which class Rina's weight will stay?","রিয়ান এর বয়স ১৮ বছর তার দৈহিক ওজন ৪৫ কেজি উচ্চতা ১.৫ মিটার।
 
 WHO-এরমধ্যে রিয়ানের ওজন স্থূলতা নির্ণেধনের ছকে কোন শ্রেণীতে পড়ে?",Under weight,Normal weight,Over weight,1st class obesity,ওজন কম,স্বাভাবিক ওজন,অতিরিক্ত ওজন,শ্রেণীর স্থলতা,a
"Pair fin of Labeo rohita are-
 i. pelvic fin
 ii.pectoral fin
 iii.caudal fin
 Which one is correct?","রুই মাছের যুগ্ম পাখনা হলো-
 i. শ্রেণি পাখনা
 ii. বক্ষ পাখনা
 iii. পুচ্ছ পাখনা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which one of the phenotypic ratio for duplicate recessive epistasis?,দ্বৈত প্রচ্ছন্ন এপিস্ট্যাসিস এর ফিনোটাইপিক অনুপাত কোনটি?,9:3:3:1,1:02:01,13:03,9:07,৯ : ৩ : ৩ : ১,১:০২:০১,১৩:০৩,৯:০৭,d
Which one is the excretory Organ of Grasshopper?,ঘাসফড়িং এর রেচন অঙ্গ কোনটি?,Nephridia,Flame cell,Malpighian tubule,Malpighian body,নেফ্রিডিয়া,শিখা কোষ,মালপিজিয়ান নালিকা,মালপিজিয়ান বডি,c
Which one is living fossil?,জীবনন্ত জীবাশ্ম কোনটি?,Branchiostoma,Latimaria,Petromyzon,Plesiobatis,Branchiastoma,Latimeria,Petromyzon,Plesiobatis,b
"Farhan and Mahi collected some snails and starfishes when they visited sea-shore.
 What is the phylum belong to the second type of animal,collected by Farhan and Mahi?","ফারহান ও মাহি সমুদ্র সৈকতে বেড়াতে গিয়ে অনেকগুলো শামুক ও তার আমার সংগ্রহ করল।
 
 ফারহান ও মাহির সংগৃহীত দ্বিতীয় প্রাণিটি কোন পর্বভুক্ত?",Cnidaria,Arthropoda,Echinodermata,Mollusca,Cnidaria,Arthropoda,Echainodermata,Mollusca,c
"Farhan and Mahi collected some snails and starfishes when they visited sea-shore.
What are the bases to classify the animas,mentioned in the stem?
 i. Respiratory system
 ii.Skeletal system
 iii. Habital
 Which one is correct?","ফারহান ও মাহি সমুদ্র সৈকতে বেড়াতে গিয়ে অনেকগুলো শামুক ও তার আমার সংগ্রহ করল।
 
 উদ্দীপকে উল্লিখিত প্রাণী গুলোর শ্রেণীবিন্যাসের ভিত্তি-
 i. শাসন কৌশল
 ii. কঙ্কালতন্ত্র
 iii. আবাসস্থল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
"Parts of Labium-
 i.mentum
 ii.galea
 iii.ligulae
 Which one is correct?","ল্যাবিয়াম এর অংশ-
 i. মেন্টাম
 ii. গেলিয়া
 iii. লিগিউল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"Lipid+'X'\rightarrow Fatty acid+Glycerol.
 What is the name of the enzme will be placed in'X'?","লিপিড + 'X' \rightarrow ফ্যাটি এসিড + গ্লিসারল
 
 উদ্দীপকে X কোন এনজাইমকে নির্দেশ করে?",Lypase,Amaylase,Renin,Pepsin,লাইপেজ,অ্যামাইলেজ,রেনিন,পেপসিন,a
What is the depot carbohydrate in liver?,যকৃতে শর্করার সঞ্চিতরূপ কোনটি?,Bilirubin,Glycogen,Glucagon,Cholesterol,বিলিরুবিন,গ্লাইকোজেন,গ্লুকাগন,কোলেস্টেরল,b
"What participate in protein digestion?
 i. pepsin
 ii.Amylase
 iii.Carboxypeptide
 Which one is correct?","প্রোটিন পরিপাকে অংশ নেয় কোনটি?
 i. পেপসিন
 ii. অ্যামাইলেজ
 iii. কার্বক্সিপেপটাইড
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"According to stem what will be happened-
 i. erythroblastosis foetalis
 ii.offspring's blood with Rh+
 iii.offspring's blood with Rh-
 Which one is correct?","উদ্দীপকের আলোকে যা হতে পারে-
 i. এরিথ্রোব্লাস্টোসিস ফিটালিস
 ii. সন্তানের রক্ত Rh + (Rh পজিটিভ) ফ্যাক্টরযুক্ত
 iii. সন্তানের রক্ত Rh - (Rh নেগেটিভ) ফ্যাক্টরযুক্ত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which leucocyte contain heparin?,হেপারিন থাকে কোন শ্বেত রক্তকণিকায়?,Eosinophil,Monocyte,Besophil,Lymphocyte,ইউসিনোফিল,মনোসাইট,বেসোফিল,লিম্ফোসাইট,c
Which gene cause color blindness?,বর্ণান্ধতার জন্য দায়ী জিন হল,Lethal,Epistatic,Co-dominate,Sex-linked,লিথাল,এপিস্ট্যাটিক,সহ-প্রকট,সেক্সলিঙ্কড,d
"What are the Characteristics of aves?
 i.Warm blooded
 ii.Body covered with feather
 iii. Spongy bones
 Which one is correct?","Aves শ্রেণির বৈশিষ্ট্য হলো-
 i. উষ্ণ রক্তবিশিষ্ট
 ii. দেহ পালকে আবৃত 
 iii. অস্থি বায়ুপূর্ণ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Who is the persuasive of 'Theory of Natural Selection'?,প্রাকৃতিক নির্বাচন মতবাদের প্রবর্তক কে?,Darwin,Lamarck,Weismann,Spencer,ডারউইন,ল্যামার্ক,ভাইজম্যান,স্পেন্সার,a
Who is the father of Zoology?,প্রাণিবিদ্যার জনক কে?,Lineas,Thiophrastas,Aristotle,Darwin,লিনিয়াস,থ্রিওফ্রাস্টাস,অ্যারিস্টটাল,ডারউইন,c
"Animals of the phylum chordata carry-
 i. notochord in any stage of life
 ii.gill slits in the pharynx
 iii.unreal coelem
 Which one is correct?","কর্ডাটা পর্বভুক্ত প্রাণির দেহে-
 i. জীবনের কোনো না কোনো দশায় নটোকর্ড থাকে
 ii. গলবিলীয় ফুলকা রন্ধ্র বিদ্যমান
 iii. অপ্রকৃত সিলোম থাকে
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"I,ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",a
Which is found in the body of Grasshopper?,কোনটি ঘাসফড়িংয়ের দেহে দেখা যায়?,Messoglea,Haemocoel,Coelenteron,Homonomoces metamere,মেসোগ্লিয়া,হিমোসিল,সিলেন্টেরন,সমখণ্ডকায়ন,b
Which stage is the real for Grasshopper development?,ঘাসফড়িংয়ের পরিস্ফুটনের সঠিক ধাপ কোনটি?,Egg→Larva→Pupa→Imago,Egg→Nymph→Pupa→Imago,Egg →Nymph→Imago,Egg→Larva→Imago,ডিম \rightarrow লার্ভা \rightarrow পিউপা \rightarrow ইমাগো,ডিম \rightarrow নিম্ফ \rightarrow পিউপা \rightarrow ইমাগো,ডিম \rightarrow নিম্ফ \rightarrow ইমাগো,ডিম \rightarrow লার্ভা \rightarrow ইমাগো,c
"The gases found in air bladder of Rui fish-
 . Oxygen
 ii. Carbon dioxide
 iii. Hydrogen
 Which one is correct?","রুইমাছের থটকায় বিদ্যমান গ্যাস হলো-
 i. অক্সিজেন
 ii. কার্বন ডাইঅক্সাইড
 iii. হাইড্রোজেন
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which hormone helps in digestion?,পরিপাকে সাহায্যকারী হরমোন কোনটি?,Glucagon,Adrenalin,Insulin,Secretin,গ্লুকাগন,এড্রিন্যালিন,ইনসুলিন,সিক্রেটিন,d
Which is not the part of small intestine?,ক্ষুদ্রান্ত্রের অংশ নয় কোনটি?,Deodenam,Sycum,Gegonam,Elium,ডিওডেনাম,সিকাম,জেজুনাম,ইলিয়াম,b
"The hormones which control the metabolism of carbohydrates are-
 i. Insulin
 ii. Clucocorticoid
 iii.Thyroxin
 Which one is correct?","শর্করা জাতীয় খাদ্য বিপাক নিয়ন্ত্রণকারী হরমোন-
 i. ইনসুলিন
 ii. গ্লুকোকর্টিকয়েড
 iii. থাইরক্সিন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
The ratio of red blood cell and white blood cell in human body-,মানুষের রক্তে লোহিত ও শ্বেত কণিকার অনুপাত কত?,700:1,500:1,1:500,1:700,৭০০ : ১,৫০০ : ১,১ : ৫০০,১ : ৭০০,a
"Plasma protein in human blood-
 i. fibrinogen
 ii.colagen
 ii.globiulin","মানুষের রক্তের প্লাজমা প্রোটিন-
 i. ফিব্রিনোজেন
 ii. কোলাজেন
 iii. গ্লোবিউলিন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",c
"The blood flows from Ventsicles to pulmonary and systemic aorta due to the closing of tricaspid and bicasoid values respectively.
 Which is correct of the following mentioned in the stem?","ট্রাইকাসপিড ও বাইপাসপিড কপাটিকা বন্ধের কারণে নিলয় থেকে রক্ত যথাক্রমে পালমোনারি ও সিস্টেমিক মহাধমনিতে যায়।
 
 উদ্দীপকে উল্লিখিত ঘটনাটির ক্ষেত্রে নিচের কোনটি সঠিক?",Diastole of sulindo,Systolo of aulindo,Systole of niloy,Diastole of niloy,অলিন্দের ডায়াস্টোল,অলিন্দের সিস্টোল,নিলয়ের সিস্টোল,নিলয়ের ডায়াস্টোল,c
"The blood flows from Ventsicles to pulmonary and systemic aorta due to the closing of tricaspid and bicasoid values respectively.
When the closing of above mentioned valves then it occurs-
 i.It creates lub like sound
 ii. It creates dub like sound
 iii. It takes 0.3 second
 Which one is correct?","ট্রাইকাসপিড ও বাইপাসপিড কপাটিকা বন্ধের কারণে নিলয় থেকে রক্ত যথাক্রমে পালমোনারি ও সিস্টেমিক মহাধমনিতে যায়।
 
 উদ্দীপকে উল্লিখিত কপাটিকা দুটি বন্ধ থাকে যখন, তখন-
 i. এতে ল্যাব সদৃশ শব্দ সৃষ্টি হয়
 ii. ডাম সদৃশ শব্দ সৃষ্টি হয়
 iii. ০.৩ সে. সময় লাগে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
What is pacemaker?,পেসমেকার কী?,Aurio ventricular node,Sino atrial node,Sino ventricular node,Atrio ventricualr node,অরিও ভেন্ট্রিকল নোড,সাইনো অ্যাট্রিয়াল নোড,সাইনো ভেন্ট্রিকল নোড,অ্যাট্রিও ভেন্ট্রিকল নোড,b
What type of scale is Rui fish-,রুই মাছের আঁইশ কী ধরনের?,Circular,Ventricular,With spine,Circular and with spine,সার্কুলার,ভেন্ট্রিকুলার,কন্টকযুক্ত,সার্কুলার ও কন্টকযুক্ত,a
Who is the father of Genetics?,বংশগতি বিদ্যার জনক কে?,Gregor Zohan Mendel,Aristotle,Lineus,Willium Harvey,গ্রেগর জোহান মেন্ডেল,অ্যারিস্টটল,লিনিয়াস,উইলিয়াম হার্ভে,a
How many autosomes are in the human body cell?,মানুষের দেহকোষে কতটি অটোসোম থাকে?,22,23,44,46,22,23,44,46,c
Life is nothing but struggle for existence-Who says?,অস্তিত্বের জন্য সংগ্রাম- উক্তিটি কার?,Lamarck,Darwing,The Vires,Heckel,ল্যামার্ক,ডারউইন,হেকেল,দ্য ভ্রিস,b
"Black and short hair male guinipig is crossed with brown and long hair female guinipig and F_{1} generation result into black and short hair guinpig.
 For this above reason the male guinipig is called What?","কালোবর্ণ ও খাটো লোমের পুরুষ গিনিপিগের সাথে বাদামি বর্ণ ও লম্বা লোমের স্ত্রী গিনিপিগের সংকরায়নে F_{1} বংশধরে কালোবর্ণ ও খাটো লোমের গিনিপিগ পাওয়া যায়।
 
 এক্ষেত্রে পুরুষ গিনিপিগকে কী বলা হয়?",Pure dominant,Pure recessive,Hybrid,Pure hybird,বিশুদ্ধ প্রকট,বিশুদ্ধ প্রচ্ছন্ন,সংকর,বিশুদ্ধ সংকর,a
"Black and short hair male guinipig is crossed with brown and long hair female guinipig and F_{1} generation result into black and short hair guinpig.
What type of genotype in F_{1} grneration?","কালোবর্ণ ও খাটো লোমের পুরুষ গিনিপিগের সাথে বাদামি বর্ণ ও লম্বা লোমের স্ত্রী গিনিপিগের সংকরায়নে F_{1} বংশধরে কালোবর্ণ ও খাটো লোমের গিনিপিগ পাওয়া যায়।
 
 F_{1} বংশধরের জিনোটাইপ কীরূপ হবে?",BBSS,BbSs,BBss,bbSS,BBSS,BbSs,BBss,bbSS,b
