English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"1 a.m.u = 
 i. 931 MeV
 ii. 931 \times 10^{6} eV
 iii. 1.66057 \times 10^{-27} kg
 Which one is correct?","1 a.m.u = 
 i. 931 MeV
 ii. 931 \times 10^{6} eV
 iii. 1.66057 \times 10^{-27} kg
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the unit of mechanical equivalent of heat?,তাপের যান্ত্রিক সমতার একক কোনটি?,Joule-Calori,Joule/Calori,Calori/gm,Calori/Joule,জুল-ক্যালরি,জুল/ক্যলরি,ক্যালরি/গ্রাম,ক্যালরি/জুল,b
Diffraction is a special kind of-,অপবর্তন এক বিশেষ ধরনের-,Polarization,reflection,interference,refraction,সমবর্তন,প্রতিফলন,ব্যতিচার,প্রতিসরণ,c
"In Young's double slit experiment using sodium light (\lambda = 5898 \AA), 92 fringes are yielded. If green colour (x = 5461 \AA) could be used, how many fringes will be yielded?",ইয়ং এর দ্বি চিড় পরীক্ষায় সোডিয়াম আলো (\gamma = 5898 \AA) ব্যবহার করলে পর্দায় 92টি ডোরা পাওয়া যায়। যদি সবুজ আলো (\gamma = 5461\AA) ব্যবহার করা হয় তবে কতগুলো ডোরা পাওয়া যাবে?,62,67,90,99,62,67,90,99,d
"If the ratio of propagation of two superimposed waves is 2 : 1, the ratio of the maxium and the minimum intensity is-",উপরিপাতিত দুটি তরঙ্গ বিস্তারের অনুপাত 2:1 হলে সর্বোচ্চ ও সর্বনিম্ন তীব্রতার অনুপাত হবে-,1 : 1,9 : 1,4 : 1,2 : 1,1 : 1,9 : 1,4 : 1,2 : 1,b
"The polarising angle of a transparent medium is 60\degree .
 
 What is the refracting angle?","কোনো স্বচ্ছ মাধ্যমের সমবর্তন কোণ 60\degree।
 
 প্রতিসরণ কোণের মান কত?",30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,a
"The characteristics of photoelectric effect is-
 i. it is instantaneous incident
 ii. the kinetic energy of photoelectron is proportional the frequency of the incident light
 iii. the amount of the photoelectric current is inversely proportional to the intensity of the incident light
 Which one is correct?","আলোর তড়িৎ ক্রিয়ার বৈশিষ্ট্য হলো-
 i. এটি একটি তাৎক্ষণিক ঘটনা
 ii. ফটো ইলেকট্রনের গতিশক্তি আপতিত আলোর কম্পাংকের সমানুপাতিক
 iii. ফটোতড়িৎ প্রবাহের মান আপতিত আলোর তীব্রতার ব্যস্তানুপাতিক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the unit of entropy?,এনট্রপির একক কোনটি?,NK^{-1},JK^{-1},Jmole^{-1} K^{-1},N^{-1} m^{-2} C^{2},NK^{-1},JK^{-1},Jmole^{-1} K^{-1},N^{-1} m^{-2} C^{2},b
The work done by a system is zero. This means-,কোনো সিস্টেম কর্তৃক কৃতকাজ শূন্য-এর অর্থ-,the pressure remains constant but volume increases,the pressure remains constant but volume decreases,the volume remains constant but pressure increases,"the volume, pressure and temperature increase",চাপ স্থির কিন্তু আয়তন বৃদ্ধি পায়,চাপ স্থির কিন্তু আয়তন কমে যায়,আয়তন স্থির কিন্তু চাপ বৃদ্ধি পায়,"চাপ, আয়তন এবং তাপমাত্রা বৃদ্ধি পায়",c
The relationship between the pressure and temperature of an ideal gas in adiabatic process-,রুদ্ধতাপীয় প্রক্রিয়ায় একটি আদর্শ গ্যাসের চাপ ও তাপমাত্রার মধ্যে সম্পর্ক-,P^{\gamma - 1} = constant,P^{\gamma} T^{\gama + 1} = constant,P^{\gamma} T^{\gamma - 1} = constant,P^{1 - \gamma} T^{\gamma} = constant,P^{\gamma - 1} = ধ্রুবক,P^{\gamma} T^{\gama + 1} = ধ্রুবক,P^{\gamma} T^{\gamma - 1} = ধ্রুবক,P^{1 - \gamma} T^{\gamma} = ধ্রুবক,d
What is the value of \gamma in case of mono-atomic gas?,এক পরমাণুক গ্যাসের ক্ষেত্রে \gamma এর মান কত?,1.11,1.33,1.41,1.67,1.11,1.33,1.41,1.67,d
"If current passes through two unequal resistors are connected in parallel-
 i. different values of electricity will flow in the two resistors
 ii. the potential difference between the ends both resistors will be equal
 iii. less heat will generate at the edge of low values resistor
 Which one is correct?","অসম মানের দুটি রোধকে সমান্তরালে যুক্ত করে তড়িৎ প্রবাহিত করলে-
 i. রোধ দুটিতে ভিন্ন মানের তড়িৎ প্রবাহিত হবে
 ii. উভয় রোধের প্রান্তের বিভব পার্থক্য সমান হবে
 iii. কম মানের রোধের প্রান্তের কম তাপ উৎপন্ন হবে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"When a radioactive substance emits an \alpha particle, its position in the periodic table is lowered by-",যখন কোনো তেজস্ক্রিয় মৌল থেকে \alpha কণা নির্গত হয় তখন পর্যায় সারণিতে মৌলটির অবস্থান নিচে নেমে যায়-,one place,two place,three place,four place,এক ঘর,দুই ঘর,তিন ঘর,চার ঘর,b
If \frac{1}{16} percent of any radio-active element remains after one day it will also have a half life-,কোনো তেজস্ক্রিয় মৌলের 1 দিন পর \frac{1}{16} অংশ অবশিষ্ট থাকলে অর্ধায়ু হবে-,12 hrs,6 hrs,3 hrs,2 hrs,12 ঘন্টা,6 ঘন্টা,3 ঘন্টা,2 ঘন্টা,b
The correct relationship between two current gains in a transistor is-,ট্রানজিস্টরের ক্ষেত্রে \alpha ও \beta এর মধ্যে সম্পর্ক নিম্নরূপ-,\beta = \frac{\alpha}{1 + \alpha},\beta = \frac{1 + \alpha}{1 - \alpha},\alpha = \frac{\beta}{1 + \beta},\alpha = \frac{1 + \beta}{\beta},\beta = \frac{\alpha}{1 + \alpha},\beta = \frac{1 + \alpha}{1 - \alpha},\alpha = \frac{\beta}{1 + \beta},\alpha = \frac{1 + \beta}{\beta},c
How many diodes are needed for a full wave rectification?,পূর্ণ তরঙ্গ রেকটিফায়ারের সর্বোচ্চ কতটি ডায়োড প্রয়োজন?,1,2,3,4,1,2,3,4,d
Shunt uses for-,শান্ট ব্যবহার করা হয়-,decreases current,decrease resistance,decrease potentiality,increase potentiality,বিদ্যুৎ প্রবাহ কমাতে,রোধ কমাতে,বিভব কমাতে,বিভব বাড়াতে,a
Unit of electric flux is-,তড়িৎ ফ্লাক্সের একক হলো-,NC^{-1}m^{2},JC^{-1},V,V/m,NC^{-1} m^{2},JC^{-1},V,V/m,a
What is the capacitance of earth assuming it to be a spherical conductor of radius 6400 km?,পৃথিবীকে 6400 km ব্যাসার্ধের একটি ধারক মনে করলে ধারকত্ব কত হবে?,3200 \mu F,420 \mu F,511 \mu F,711 \mu F,320 \mu F,420 \mu F,511 \mu F,711 \mu F,d
Unit of X-ray is-,এক্স-রে এর একক হলো-,Becquerel,Newton,Roentgen,Volt,বেকেরেল,নিউটন,রন্টজেন,ভোল্ট,c
1 amu is equal to what?,1 amu ভরের সমতুল্য শক্তি কত?,932 MeV,93.2 MeV,9.32 MeV,0.932 MeV,932 MeV,93.2 MeV,9.32 MeV,0.932 MeV,a
What change in light characteristics occur when the medium is changed?,মাধ্যমের পরিবর্তন হলে আলোর বৈশিষ্ট্যের কী পরিবর্তন ঘটে?,Frequency,Colour,Wave length,,কম্পাঙ্ক,বর্ণ,তরঙ্গদৈর্ঘ্য,কোনোটিই না,c
_{18}^{40}\textrm{Ar} and _{20}^{40}\textrm{Ca} are,_{18}^{40}\textrm{Ar} ও _{20}^{40}\textrm{Ca} হচ্ছে-,Isomers,Isotopes,Isobars,Isotones,আইসোমার,আইসোটোপ,আইসোবার,আইসোটোন,c
"Applied centripetal force is acted upon revolving electron in its orbit-
 i. F_{c} = \frac{Mv^{2}}{r}
 ii. F_{c} = m\omega^{2}r
 iii. F_{c} = mr^{2}
 Which one of the following is correct?","কক্ষপথে ঘূর্ণনশীল ইলেক্ট্রনের ওপর প্রযুক্ত কেন্দ্রমুখী বল-
 i. F_{c} = \frac{Mv^{2}}{r}
 ii. F_{c} = m\omega^{2}r
 iii. F_{c} = mr^{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Mass defect of the nucleus is 0.0377 amu, what will be the binding energy?",কোনো নিউক্লিয়াসের ভরত্রুটি 0.0377 amu হলে বন্ধন শক্তি কত?,31.2 MeV,32.5 MeV,33.1 MeV,35.1 MeV,31.2 MeV,32.5 MeV,33.1 MeV,35.1 MeV,d
"Resistance 8.5 \Omega is connected in the left gap and 3.5 \Omega is conncected in the right gap of the meter bridge.
 
 What is the distance of the null point from the left terminal of meter bridge?","একটি মিটার ব্রিজের বাম ফাঁকে 8.5 \Omega এবং ডান ফাঁকে 3.5 \Omega রোধ যুক্ত আছে।
 মিটার ব্রিজটির বাম প্রান্ত থেকে কত দূরে নিঃস্পন্দ বিন্দু অবস্থিত?",87.70 cm,83.70 cm,70.83 cm,63.73 cm,87.70 cm,83.70 cm,70.83 cm,63.73 cm,c
"Resistance 8.5 \Omega is connected in the left gap and 3.5 \Omega is conncected in the right gap of the meter bridge.
 
 When positions of two resistance are interchanged then what amount will move null point towards left side?","একটি মিটার ব্রিজের বাম ফাঁকে 8.5 \Omega এবং ডান ফাঁকে 3.5 \Omega রোধ যুক্ত আছে।
 রোধ দুটি স্থান বিনিময় করলে নিঃস্পন্দ বিন্দু বাম দিকে কি পরিমাণ সরে আসবে?",66.41 cm,41.66 cm,16.41 cm,16.16 cm,66.41 cm,41.66 cm,16.41 cm,16.16 cm,b
"1.0 \times 10^{5} Nm^{-2} constant pressure, the volume of an ideal gas expanded from 0.04 m^{3} to 0.05 m^{3}. What is the external work done?",1.0 \times 10^{5} Nm^{-2} স্থির চাপে কোনো আদর্শ গ্যাসের আয়তন 0.04 m^3 থেকে প্রসারিত হয়ে 0.05 m^3 হলো। বহিঃস্থ কাজের পরিমাণ কত?,1 J,10 J,100 J,1000 J,1 J,10 J,100 J,1000 J,d
"Irreversible process-
 i. is a rapid process
 ii. is a spontaneous process
 iii. does not keep the system in thermodynamic equilibrium
 Which one is correct?","অত্যপ্রত্যাবর্তী প্রক্রিয়া-
 i. একটি ব্রুত প্রক্রিয়া
 ii. একটি স্বতঃস্ফূর্ত প্রক্রিয়া
 iii. সিস্টেম তাপগতীয় সাম্যবস্থা বজায় রাখে না
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"An electric diole is formed by two charges \pm 5 \mu C and distance between them is 4 mm. The dipole is placed perpendicularly in the electric field of intensity of \times 10^4 NC^{-1}.
 
 What is the dipole moment in case of above stimulus?"," 5\mu C চার্জ দুটিকে 4mm ব্যবধানে রেখে একটি তড়িৎ দ্বিমেরু গঠন করা হলো। দ্বিমেরুটি 2 \times 10^4 NC^{-1} প্রবাল্যের তড়িৎ ক্ষেত্রে লম্বভাবে স্থাপন করা হলো।
 উদ্দীপকে তড়িৎ দ্বিমেরু ভ্রামক কত?",2 \times 10^{-8} Cm,1.6 \times 10^{-8} Cm,1.4 \times 10^{-8} Cm,1.2 \times 10^{-8} Cm,2 \times 10^{-8} Cm,1.6 \times 10^{-8} Cm,1.4 \times 10^{-8} Cm,1.2 \times 10^{-8} Cm,a
"An electric diole is formed by two charges \pm 5 \mu C and distance between them is 4 mm. The dipole is placed perpendicularly in the electric field of intensity of \times 10^4 NC^{-1}.
 
 How much torque will be required to place the electric dipole in the electric field?","5\mu C চার্জ দুটিকে 4mm ব্যবধানে রেখে একটি তড়িৎ দ্বিমেরু গঠন করা হলো। দ্বিমেরুটি 2 \times 10^4 NC^{-1} প্রবাল্যের তড়িৎ ক্ষেত্রে লম্বভাবে স্থাপন করা হলো।
 দ্বিমেরুটিকে তড়িৎ ক্ষেত্রে লম্বভাবে স্থাপন করতে কত টর্কের প্রয়োজন হবে?",6 \times 10^{-4} Nm,4 \times 10^{-4} Nm,2 \times 10^{-4} Nm,1.2 \times 10^{-4} Nm,6 \times 10^{-4} Nm,4 \times 10^{-4} Nm,2 \times 10^{-4} Nm,1.2 \times 10^{-4} Nm,b
What is the unit of specific resistance?,আপেক্ষিক রোধের একক কোনটি?,\Omega - m^{-1},\Omega,\Omega - m,\Omega - m^{-2},\Omega - m^{-1},\Omega,\Omega - m,\Omega - m^{-2},c
Which one is not electromagnetic wave?,কোনটি তড়িৎ চুম্বকীয় তরঙ্গ নয়?,Visible light,X-ray,\gamma - ray,\alpha - ray,দৃশ্যমান আলো,X-রশ্মি,গামা রশ্মি,আলফা রশ্মি,d
"In case of coherent source of light-
 i. the two sources should be small
 ii. light waves of the same wavelength are emitted from two sources
 iii. two sources should be very close to each other
 Which one of the following is correct?","সুসংগত আলোর উৎসের ক্ষেত্রে-
 i. উৎস দুটি ক্ষুদ্র হবে
 ii. উৎস হতে সমান তরঙ্গ দৈর্ঘ্যের তরঙ্গ নির্গত হবে
 iii. উৎস দুটি পরস্পর থেকে স্বল্প দূরে হতে হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the meaning of 'tope' of Isotope?,আইসোটোপের 'টোপ'-এর অর্থ কী?,Place,Motion,Action,Radiation,স্থান,গতি,ক্রিয়া,বিকিরণ,a
"A particle is moving with a velocity of \frac{c}{\sqrt{3}}, then total energy will be-",\frac{c}{\sqrt{3}} বেগে চলমান একটি কণার মোট শক্তি হলো-,0.173 m_{0}c^{2},\sqrt{\frac{3}{2}}m_{0}c^{2},\frac{\sqrt{2}}{4}m_{0}c^{2},1.732 m_{0}c,0.173 m_{0}c^{2},\sqrt{\frac{3}{2}}m_{0}c^{2},\frac{\sqrt{2}}{4}m_{0}c^{2},1.732 m_{0}c,b
For the constructive interference the path difference between the over lapped waves will be-,গঠনমূলক ব্যতিচারের ক্ষেত্রে উপরিপাতিত তরঙ্গদ্বয়ের মধ্যে পথ পার্থক্য হবে-,even multiple of \frac{\lambda}{2},odd multiple of \frac{\lambda}{2},even multiple of \lambda,odd multiple of \lambda,\frac{\lambda}{2} এর যুগ্ম গুণিতক,\frac{\lambda}{2} এর অযুগ্ম গুণিতক,\lambda এর যুগ্ম গুণিতক,\lambda এর অযুগ্ম গুণিতক,a
"In young's double slit experiment distance between the two slit is 0.4 mm. The slits are illuminated by light of wave length of 6000 \AA . The distance between the central bright fringe and the last bright fringe is 18mm. Distance of the screen parallel to the slit is 1m.
 
 How many bright fringes will be found on the screen?","ইয়ং এর দ্বিচির পরীক্ষায় চিরদ্বয়ের মধ্যবর্তী দূরত্ব 0.4 mm চিরটিকে 6000 \AA তরঙ্গদৈর্ঘ্যের আলো দ্বারা আলোকিত করলে পর্দায় কেন্দ্রীয় উজ্জ্বল হতে 18 mm দূরে সর্বশেষ উজ্জ্বল ডোরা পাওয়া যায়। চিত্র হতে পর্দার দূরত্ব 1 m।
 
 দ্বিতীয় উজ্জ্বল ডোরা হতে ৪র্থ অন্ধকার কেন্দ্রের মধ্যবর্তী দূরত্ব কত?",12,24,35,49,1.25 mm,2.25 mm,4.5 mm,5.5 mm,b
"In young's double slit experiment distance between the two slit is 0.4 mm. The slits are illuminated by light of wave length of 6000 \AA . The distance between the central bright fringe and the last bright fringe is 18mm. Distance of the screen parallel to the slit is 1m.
 
 What is the distance between the center of second bright fringe and the 4th dark fringe?","ইয়ং এর দ্বিচির পরীক্ষায় চিরদ্বয়ের মধ্যবর্তী দূরত্ব 0.4 mm চিরটিকে 6000 \AA তরঙ্গদৈর্ঘ্যের আলো দ্বারা আলোকিত করলে পর্দায় কেন্দ্রীয় উজ্জ্বল হতে 18 mm দূরে সর্বশেষ উজ্জ্বল ডোরা পাওয়া যায়। চিত্র হতে পর্দার দূরত্ব 1 m।
 
 দ্বিতীয় উজ্জ্বল ডোরা হতে ৪র্থ অন্ধকার কেন্দ্রের মধ্যবর্তী দূরত্ব কত?",1.25 mm,2.25 mm,4.5 mm,5.5 mm,1.25 mm,2.25 mm,4.5 mm,5.5 mm,b
By which theory Compton effect can be explained?,কম্পটন ক্রিয়া কোন তত্ত্বের সাহায্যে ব্যাখ্যা করা যায়?,Corpuscular theory,Wave theory,Quantum theory,Electromagnetic theory,কণা তত্ত্ব,তরঙ্গ তত্ত্ব,কোয়ান্টাম তত্ত্ব,তড়িৎ চুম্বক তত্ত্ব,c
By which maximum diffraction happens-,কোন তরঙ্গের জন্য অপবর্তন সর্বাধিক হয়?,Gamma ray,X-ray,Infrared ray,Radio wave,গামা রশ্মি,এক্স রশ্মি,অবলোহিত রশ্মি,বেতার রশ্মি,d
The relationship between the pressure and temperature in the case of ideal gas during the thermal charge is-,রুদ্ধতাপীয় পরিবর্তনের সময় আদর্শ গ্যাসের ক্ষেত্রে চাপ ও তাপমাত্রার সম্পর্ক হলো-,TP \frac{1 - \gamma}{\gamma} = constant,PT \frac{1 - \gamma}{\gamma} = ধ্রুবক,TP \frac{\gamma}{1 - \gamma} = constant,PT \frac{\gamma}{1 - \gamma} = constant,TP \frac{1 - \gamma}{\gamma} = ধ্রুবক,PT \frac{1 - \gamma}{\gamma} = ধ্রুবক,TP \frac{\gamma}{1 - \gamma} = ধ্রুবক,PT \frac{\gamma}{1 - \gamma} = ধ্রুবক,a
"Read the following statement-
 i. the temperature at which a substance is in solid, liquid and gaseous equilibrium is called triple point of that substance
 ii. the change that causes a change in the value of the thermal process
 iii. inability or impossibility of a system to convert or the inavailibility of energy for coversion is called entropy
 Which one is correct?","নিচের বিবৃতিগুলো লক্ষ্য করঃ
 i. যে তাপমাত্রায় কোনো পদার্থ কঠিন, তরল ও বায়বীয়রূপে সাম্যবস্থায় থাকে তাকে ঐ পদার্থের ত্রৈধ বিন্দু বলে
 ii. যে পরিবর্তনের কারণে তাপগতীয় স্থানাংকের মানের পরিবর্তন হয়, সেই পরিবর্তনকে তাপগতির প্রক্রিয়া বলে
 iii. কোনো সিস্টেমের শক্তি রূপান্তরের জন্য শক্তির অপ্রাপ্ততাকে এন্ট্রপি বলে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
How many times does the gas need to be expanded to get the same pressure in the isothermal process as the final pressure that is process of 1atm pressure.,"রুদ্ধতাপে 1 atm চাপে রাখা গ্যাসকে প্রসারিত করে দ্বিগুণ করা হলে যে চূড়ান্ত চাপ হয়, সমোষ্ণ প্রক্রিয়ায় সেই একই চাপ পেতে গ্যাসকে কতগুণ প্রসারিত করতে হবে?",1.4,2.6,5.2,7.8,1.4,2.6,5.2,7.8,b
"In a security fuse has 5apm written on it, it meanse-
 i. ehen conncected to a circuit, it tolerates an electric current upto 5 amperes
 ii. at a current more than 5 amperes, the fuse melts and disconnects the circuit
 iii. the fuse is connected in parallel with the supply line
 Which one is correct?","কোনো নিরাপত্তা ফিউজ এর গায়ে 5 A ফিউজ লেখা থাকলে এর অর্থ-
 i. কোনো বর্তনীতে যুক্ত করলে তা 5 A পর্যন্ত তড়িৎ প্রবাহ সহ্য করতে পারে
 ii. 5 A এর অধিক প্রবাহমাত্রায় ফিউজ গলে বর্তনী সংযোগ বিচ্ছিন্ন করে
 iii. ফিউজটি সরবরাহ লাইনের সাথে সমান্তরালে যুক্ত থাকে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
The two ends of the voltemeter are connected to the two ends of the dry cell. Then a key and a resistor were connected in series combination and the current was turned on by turning the key.,একটি ভোল্টমিটার ও একটি শুষ্ককোষ নিয়ে ভোল্টমিটারের দুই প্রান্ত কোষের দুই প্রান্তের সাথে সংযুক্ত করা হলো। অতঃপর কোষের সাথে শ্রেণি সমবায়ে একটি চাবি ও একটি রোধক যুক্ত করে এবং চাবি বন্ধ করে তড়িৎ প্রবাহ চালনা করা হলো।,"In the first cas, the reading on the voltemer is the e.m.f.","In the second case, the reading on the voltemeter is the e.m.f.","In the first case, the reading is potential difference","In the second case, the reading is more than that of first case",প্রথম ক্ষেত্রে ভোল্টমিটার যে পাঠ দেয় তা তড়িচ্চালক শক্তি,দ্বিতীয় ক্ষেত্রে যে পাঠ দেয় তা তড়িচ্চালক শক্তি,প্রথম ক্ষেত্রে যে পাঠ দেয় তা বিভব পার্থক্য,দ্বিতীয় ক্ষেত্রে যে পাঠ দেয় তা প্রথম ক্ষেত্রের পাঠের চেয়ে বেশি,a
The heat produced due to friction of two objects follows-,দুইটি বস্তুর মধ্যে ঘর্ষণের ফলে উৎপন্ন তাপ কোন প্রক্রিয়া অনুসরণ করে?,reversible process,irreversible process,adiabatic process,Isothermal process,প্রত্যাবর্তী প্রক্রিয়া,অপ্রত্যাবর্তী প্রক্রিয়া,রুদ্ধতাপীয় প্রক্রিয়া,সমোষ্ণ প্রক্রিয়া,b
20 gm water boiled from 0\degree C temp. to 80\degree C temp. What will be the change of entropy?,20 gm পানিকে 0\degree C থেকে 80\degree C তাপমাত্রায় উত্তপ্ত করা হলো। এন্ট্রপির পরিবর্তন কত হবে?,21.59 JK^{-1},24.02 JK^{-1},40.20 JK^{-1},46.20 JK^{-1},21.59 JK^{-1},24.02 JK^{-1},40.20 JK^{-1},46.20 JK^{-1},a
"Heat (H) generated due to flow of current through a conductor, heat H is-
 i. H \propto I^{2}
 ii. H \propto t
 iii. H \propto R
 Which one is correct?","পরিবাহীর মধ্য দিয়ে তড়িৎ প্রবাহের ফলে উৎপন্ন তাপ H হয়-
 i. H \propto I^{2}
 ii. H \propto t
 iii. H \propto R
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
If the length of a conducting wire becomes two times and its area of cross-section becomes half then what will be its resistance-,একটি পরিবাহী তারের দৈর্ঘ্য দ্বিগুণ ও প্রস্থচ্ছেদের ক্ষেত্রফল অর্ধেক করলে উহার রোধ হবে?,half,two times,four times,will not change,অর্ধেক,দ্বিগুণ,চারগুণ,পরিবর্তন হবে না,c
"The characteristics of electromagnetic wave is
 i. transverse wave
 ii. combination of electric and magnetic fields
 iii. medium is necessary for the propagation of electromagnetic waves
 Which one is correct?","তড়িৎ চুম্বকীয় তরঙ্গের বৈশিষ্ট্য হচ্ছে-
 i. আড় তরঙ্গ
 ii. তড়িৎক্ষেত্র ও চৌম্বকক্ষেত্রের সমন্বয়ে গঠিত
 iii. তড়িৎ চুম্বকীয় তরঙ্গের সঞ্চালনের জন্য মাধ্যম প্রয়োজন
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",I ও iii,i ও ii,ii ও iii,"i, ii ও iii",b
The momentum of photon is-,ফোটনের ভরবেগ-,P = \frac{\lambda}{h},P = \frac{C}{E},P = \frac{h}{\lambda},P = \frac{h}{C},P = \frac{\lambda}{h},P = \frac{c}{E},P = \frac{h}{\lambda},P = \frac{h}{c},c
"If the external voltage is not applied across the P-N junction of a diode, which is found in the depletion region-",ডায়োডের P-N জংশনে বহিঃস্থ ভোল্টেজ প্রয়োগ করা না হলে উহার নিঃশেষিত অঞ্চলে থাকে-,only electron,only hole,both electron and hole,only ion,শুধু ইলেকট্রন,শুধু হোল,ইলেকট্রন ও হোল উভয়ই,শুধু আয়ন,d
"In a common emitter transistor the current gain is 60, the input and load resistance are 500 \Omega and 500\Omega respectively. The voltage gain is-","একটি সাধারণ নিঃসারক ট্রানজিস্টর এ প্রবাহ লাভ = 60, ভাররোধ ও অন্তরগামী রোধ যথাক্রমে 500 \Omega, 500 \Omega । ভোল্টেজ বিবর্ধন কত?",20,40,60,80,20,40,60,80,c
An ideal gas is expanded through a vaccum in a solid container covered with thermal insulator. As a result which of the following will happen?,তাপ অন্তরকের আবরণযুক্ত দৃঢ় পাত্রে একটি আদর্শ গ্যাস শূন্য মাধ্যমে প্রসারণ করা হলো। ফলে নিম্নের কোনটি ঘটবে?,There will be no change in the internal energy,The temperature will drop,There will be no change in pressure,The phase will change,অন্তঃস্থ শক্তির পরিবর্তন হবে না,তাপমাত্রা হ্রাস পাবে,চাপের কোনো পরিবর্তন হবে না,দশার পরিবর্তন হবে,b
Which of the following is the equation that determines the amount of heat generated by an electric current?,তড়িৎ প্রবাহের ফলে উৎপন্ন তাপের পরিমাণ নির্ণায়ক সমীকরণ নিচের কোনটি?,H = 0.24 V^{2} It Cal,H = 0.24 \frac{V^{2}}{R} t Cal,H = 0.24 IRt Cal,H = 0.24 P^{2}t Cal,H = 0.24 V^{2} It Cal,H = 0.24 \frac{V^{2}}{R} t Cal,H = 0.24 IRt Cal,H = 0.24 P^{2}t Cal,b
What is the thermodynamic temperature equivalent to 98.6\degree F?,98.6\degree F তাপমাত্রার সমতুল্য থার্মোডায়নামিক তাপমাত্রা কত?,310.16K,345.16 K,393.16 K,408.16 K,310.16 K,345.16 K,393.16 K,408.16 K,a
Resistance of which substance decreases with the increases of temperature?,কোন পদার্থের তাপমাত্রা বাড়লে রোধ কমে?,Nichrome,Copper,Aluminium,Germinium,নাইক্রোম,কপার,অ্যালুমিনিয়াম,জার্মেনিয়াম,d
"In the second step of Carnot's cycle-
 i. pressure decreases
 ii. temperature decreases
 iii. volume decreases
 Which one is correct?","কার্নোচক্রের দ্বিতীয় ধাপে-
 i. চাপ হ্রাস পায়
 ii. তাপমাত্রা হ্রাস পায়
 iii. আয়তন হ্রাস পায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"n' number of capacitors of capacitance c are connected to a source of v volt is series and in parallel respectively.
 
 If equivalent capacitance in series and in parallel are C_{s} and C_{p} respectively which of the following is correct?","n সংখ্যক C ধারকত্বের ধারককে V ভোল্ট উৎসের সাথে যথাক্রমে শ্রেণি ও সমান্তরালে যুক্ত করার হলো।
 
 শ্রেণি ও সমান্তরালে তুল্য ধারকত্ব যথাক্রমে C_{s} ও C_{p} হলে নিচের কোনটি সঠিক?",C_{p} = n^{2}C_{s},C_{p} = nC_{s},C_{p} = \frac{C_{s}}{n},C_{p} = \frac{C_{5}}{n^{2}},C_{p} = n^{2}C_{s},C_{p} = nC_{s},C_{p} = \frac{C_{s}}{n},C_{p} = \frac{C_{5}}{n^{2}},a
"n' number of capacitors of capacitance c are connected to a source of v volt is series and in parallel respectively.
 
 If the stored energy of equivalent capacitors in series and in parallel are U_{s} and U_{p} respectively, which of the following is correct?","n সংখ্যক C ধারকত্বের ধারককে V ভোল্ট উৎসের সাথে যথাক্রমে শ্রেণি ও সমান্তরালে যুক্ত করার হলো।
 
 উদ্দীপকে শ্রেণি ও সমান্তরালে তুল্য ধারকের সঞ্চিত শক্তি যথাক্রমে U_{s} ও U_{p} হলে নিচের কোনটি সঠিক?",U_{p} = \frac{U_{s}}{n},U_{p} = U_{s},U_{p} = nU_{s},U_{p} = n^{2} U_{s},U_{p} = \frac{U_{s}}{n},U_{p} = U_{s},U_{p} = nU_{s},U_{p} = n^{2} U_{s},d
1 Curie = ?,1 কুরি = ?,3.7 \times 10^{3} Bq,3.7 \times 10^{4} Bq,3.7 \times 10^{7} Bq,3.7 \times 10^{10} Bq,3.7 \times 10^{3} Bq,3.7 \times 10^{4} Bq,3.7 \times 10^{7} Bq,3.7 \times 10^{10} Bq,d
