English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"If n is an integer, then which one is the general solution of sin2\theta = \frac{1}{2} is-","n একটি পূর্ণসংখ্যা হলে, sin2\theta = \frac{1}{2} সমীকরণের সাধারণ সমাধান-",\frac{n\pi}{2} + (-1)^{n} \frac{\pi}{12},\frac{n\pi}{2} + (-1)^{n} \frac{\pi}{6},n\pi + (-1)^{n} \frac{\pi}{12},n\pi + (-1)^{n} \frac{\pi}{6},\frac{n\pi}{2} + (-1)^{n} \frac{\pi}{12},\frac{n\pi}{2} + (-1)^{n} \frac{\pi}{6},n\pi + (-1)^{n} \frac{\pi}{12},n\pi + (-1)^{n} \frac{\pi}{6},a
If \alpha and \beta are roots of 2x^{2} - 3x + 1 = 0 then \alpha^{-1} + \beta^{-1} = ?,2x^{2} - 3x + 1 = 0 সমীকরণের দুইটি মূল \alpha ও \beta হলে \alpha^{-1} + \beta^{-1} = কত?,\frac{1}{3},3,\frac{4}{3},\frac{3}{4},\frac{1}{3},3,\frac{4}{3},\frac{3}{4},b
What is the sum of square of roots of equation mx^{2} - x + n = 0? (Where m \neq 0),mx^{2} - x + n = 0 সমীকরণের মূলদ্বয়ের বর্গের সমষ্টি কত? যেখানে m \neq 0),\frac{2mn -1}{m^{2}},\frac{1 - 2mn}{m^{2}},\frac{2n - 1}{m^{2}},\frac{1 - 2n}{m^{2}},\frac{2mn -1}{m^{2}},\frac{1 - 2mn}{m^{2}},\frac{2n - 1}{m^{2}},\frac{1 - 2n}{m^{2}},b
What is the equation whose roots are 1 less from the roots of the equation 2x^{2} - 5x - 3 = 0,2x^{2} - 5x - 3 = 0 সমীকরণের মূলদ্বয় হতে 1 কম মূলবিশিষ্ট সমীকরণ কোনটি?,2x^{2} - x + 4 = 0,2x^{2} + x + 6 = 0,2x^{2} - x - 6 = 0,2x^{2} + 9x + 4 = 0,2x^{2} - x + 4 = 0,2x^{2} + x + 6 = 0,2x^{2} - x - 6 = 0,2x^{2} + 9x + 4 = 0,c
"If tan^{-1}x + cot^{-1}x = \frac{\pi}{2} then-
 i. x \leq - 1
 ii. x = 0
 iii. x > 0
 Which one is correct?","যদি tan^{-1}x + cot^{-1}x = \frac{\pi}{2} হয়, তবে-
 i. x \leq - 1
 ii. x = 0
 iii. x > 0
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
That is the value of tan^{2} \left ( sec^{-1} \frac{1}{2} \right )?,tan^{2} \left ( sec^{-1} \frac{1}{2} \right ) এর মান কোনটি?,- \frac{3}{4},\frac{3}{4},- \frac{1}{2},\frac{3}{2},- \frac{3}{4},\frac{3}{4},- \frac{1}{2},\frac{3}{2},a
cot^{-1}3 = ?,cot^{-1}3 = কত?,sin^{-1} \frac{3}{\sqrt{10}},cos^{-1} \frac{1}{\sqrt{10}},\frac{1}{2} tan^{-1} \frac{3}{5},\frac{1}{2} sin^{-1} \frac{3}{5},sin^{-1} \frac{3}{\sqrt{10}},cos^{-1} \frac{1}{\sqrt{10}},\frac{1}{2} tan^{-1} \frac{3}{5},\frac{1}{2} sin^{-1} \frac{3}{5},d
"If the parabola y^{2} = 12ax passes through the point (3, -2) then waht is the length of latus rectum?","y^{2} = 12ax পরাবৃত্তটি t (3, -2) বিন্দুগামী হলে পরাবৃত্তটির উপকেন্দ্রিক লম্বের দৈর্ঘ্য কত?",\frac{4}{3},\frac{9}{4},\frac{4}{9},\frac{2}{3},\frac{4}{3},\frac{9}{4},\frac{4}{9},\frac{2}{3},a
"16y^{2} - 25x^{2} = 400 is an equation of conic.
 
 What is the eccentricity of the conic?","16y^{2} - 25x^{2} = 400 একটি কণিকের সমীকরণ।
 
 কণিকটির উৎকেন্দ্রিকতা কোনটি?",\frac{3}{4},\frac{3}{5},\frac{\sqrt{41}}{4},\frac{\sqrt{41}}{5},\frac{3}{4},\frac{3}{5},\frac{\sqrt{41}}{4},\frac{\sqrt{41}}{5},d
"16y^{2} - 25x^{2} = 400 is an equation of conic.
 
 What is the equation of latus rectum?","16y^{2} - 25x^{2} = 400 একটি কণিকের সমীকরণ।
 
 কণিকটির উপকেন্দ্রিক লম্বের সমীকরণ কত?",x = \pm \sqrt{41},y = \pm \sqrt{41},x = \pm 3,y = \pm 3,x = \pm \sqrt{41},y = \pm \sqrt{41},x = \pm 3,y = \pm 3,b
"What is the solution of \sqrt{3} tan x + 1 = 0 in the interval [0\degree, 180\degree]?","[0\degree, 180\degree] ব্যবধিতে \sqrt{3} tan x + 1 = 0 সমীকরণের সমাধান কোনটি?",30\degree,60\degree,120\degree,150\degree,30\degree,60\degree,120\degree,150\degree,d
If sin^{3}\theta + sin\theta cos^{2}\theta = - 1 then which one of the following is correct?,sin^{3}\theta + sin\theta cos^{2}\theta = - 1 হলে নিচের কোনটি সত্য?,\theta = n\pi,\theta = (2n + 1)\pi,\theta = (4n - 1) \frac{\pi}{2},\theta = (4n + 1) \frac{\pi}{2},\theta = n\pi,\theta = (2n + 1)\pi,\theta = (4n - 1) \frac{\pi}{2},\theta = (4n + 1) \frac{\pi}{2},c
If the resultant R of forces P and \sqrt{2} P is perpendicular to P then what is the angle between them?,"কোনো বিন্দুতে ক্রিয়ারত P ও \sqrt{2} P বলদ্বয়ের লব্ধি R, P বলের উপর লম্ব হলে তাদের অন্তর্গত কোণ কত?",45\degree,60\degree,120\degree,135\degree,45\degree,60\degree,120\degree,135\degree,d
If three equal parallel like forces act at three vertices of the tiangle then the resultant passes through-,কোন ত্রিভুজের শীর্ষবিন্দুতে তিনটি সমান সদৃশ সমান্তরাল বল ক্রিয়া করলে তাদের লব্ধি-,Orthocenter,Incentre,Circumcentre,Centroid,লম্বকেন্দ্র গামী,অন্তঃকেন্দ্র গামী,পরিকেন্দ্র গামী,ভরকেন্দ্র গামী,d
"2 is a root of 4x^{2} + kx + 2 = 0.
 
 What is value of k?","4x^{2} + kx + 2 = 0 সমীকরণের একটি মূল 2 ।
 
 k এর মান কত?",-5,-18,-9,-10,-5,-18,-9,-10,c
"3 is a root of 4x^{2} + kx + 2 = 0.
 
 The roots of the equation are-","4x^{2} + kx + 2 = 0 সমীকরণের একটি মূল 2 ।
 
 সমীকরণটির মূলদ্বয়-",real and equal,real and unequal,Complex,Rational,বাস্তব ও সমান,বাস্তব ও অসমান,জটিল,মূলদ,b
"If a, b, c are roots of 6x^{3} + 3x^{2} + 2 = 0 the \Sigma a^{2}b^{2} = ?","6x^{3} + 3x^{2} + 2 = 0 ত্রিঘাত সমীকরণটির মূলত্রয় a, b ও c হলে \Sigma a^{2}b^{2} এর মান কোনটি?",- \frac{1}{3},3,\frac{4}{3},\frac{3}{4},- \frac{1}{3},3,\frac{4}{3},\frac{3}{4},a
If tan^{-1}\ \frac{1}{\sqrt{3}} + tan^{-1}x = \frac{\pi}{2} then x = ?,tan^{-1}\ \frac{1}{\sqrt{3}} + tan^{-1}x = \frac{\pi}{2} হলে x = ?,\frac{1}{\sqrt{3}},- \frac{1}{\sqrt{3}},\sqrt{3},- \sqrt{3},\frac{1}{\sqrt{3}},- \frac{1}{\sqrt{3}},\sqrt{3},- \sqrt{3},c
Which one is solution of -2 (cos^{2}x - sin^{2}x) = 1?,-2 (cos^{2}x - sin^{2}x) = 1 এর সমাধান নিচের কোনটি?,n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{6},2n\pi \pm \frac{\pi}{3},2n\pi \pm \frac{\pi}{6},n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{6},2n\pi \pm \frac{\pi}{3},2n\pi \pm \frac{\pi}{6},a
"In parabola (x - 2)^{2} = 16 (y + 3)-
 i. focus (3, 1)
 ii. equation of directrix, y - 7 = 0
 iii. equation of axis, x - 2 = 0
 Which one is correct?","(x - 2)^{2} = 16 (y + 3) পরাবৃত্তের-
 i. উপকেন্দ্র (3, 1)
 ii. নিয়ামকের সমীকরণ, y - 7 = 0
 iii. অক্ষরেখার সমীকরণ, x - 2 = 0
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"What is the eccentricity of the ellipse, 3x^{2} + y^{2} = 4?",3x^{2} + y^{2} = 4 উপবৃত্তটির উৎকেন্দ্রিকতা কত?,\sqrt{\frac{2}{3}},\frac{\sqrt{2}}{3},2\sqrt{\frac{2}{3}},\frac{2\sqrt{2}}{3},\sqrt{\frac{2}{3}},\frac{\sqrt{2}}{3},2\sqrt{\frac{2}{3}},\frac{2\sqrt{2}}{3},a
Two equal forces are acting at a point at 120\degree which are in equilibrium by another force of 9N at the point. The value of each equal forces is-,কোনো বিন্দুতে 120\degree কোণে ক্রিয়ারত দুইটি সমান বলকে একই বিন্দুতে ক্রিয়ারত 9N বলের সাহায্যে ভারসাম্যে রাখা হয়েছে। সমান বলদ্বয় কত?,9\sqrt{3}N,9N,3\sqrt{3}N,3N,9\sqrt{3}N,9N,3\sqrt{3}N,3N,b
What is the coordinate of the foci of the conic 25y^{2} + 7x^{2} - 175 = 0.,25y^{2} + 7x^{2} - 175 = 0 কণিকটির উপকেন্দ্রের স্থানাঙ্ক কোনটি?,"(0, \pm 4\sqrt{2})","(\pm 4\sqrt{2}, 0)","(0, \pm 3\sqrt{2})","(\pm 3\sqrt{2}, 0)","(0, \pm 4\sqrt{2})","(\pm 4\sqrt{2}, 0)","(0, \pm 3\sqrt{2})","(\pm 3\sqrt{2}, 0)",d
For what value of k the line 2y - 4x - k = 0 will be the tangent of parabola y^{2} = 10x?,k এর মান কত হলে 2y - 4x - k = 0 রেখাটি y^{2} = 10x পরাবৃত্তের স্পর্শক হবে?,\frac{5}{4},\frac{4}{5},\frac{5}{2},\frac{2}{5},\frac{5}{4},\frac{4}{5},\frac{5}{2},\frac{2}{5},c
"If two forces 8N and 6N are acting at a point having angle \alpha then-
 i. the largest value of tangent = 14N
 ii. the lowest value of tangent = 2N
 iii. if \alpha = \frac{\pi}{2} then resultant is 10N
 Which one is correct?","8N ও 6N মানের দুইটি বল কোনো বিন্দুতে \alpha কোণে ক্রিয়ারত থাকলে-
 i. লব্ধির বৃহত্তম মান = 14N
 ii. লব্ধির ক্ষুদ্রতম মান = 2N
 iii. \alpha = \frac{\pi}{2} হলে লব্ধির মান = 10N
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"cotk = \frac{1}{2} then, what is the value of cot tan^{-1} sec sin^{-1} cotk?",cotk = \frac{1}{2} হলে cot tan^{-1} sec sin^{-1} cotk এর মান কত?,\frac{1}{2},\frac{2}{\sqrt{3}},\frac{\sqrt{3}}{2},2,\frac{1}{2},\frac{2}{\sqrt{3}},\frac{\sqrt{3}}{2},2,c
The vertex of the parabola y^{2} = 4x + 8y is-,y^{2} = 4x + 8y পরাবৃত্তের শীর্ষবিন্দু-,"(4, 4)","(-4, 4)","(-4, -4)","(4, -4)","(4, 4)","(-4, 4)","(-4, -4)","(4, -4)",b
Which is the value of c when line y = 3x + c is the tangent to the ellipse \frac{x^{2}}{5} + \frac{y^{2}}{3} = 1?,y = 3x + c রেখাটি \frac{x^{2}}{5} + \frac{y^{2}}{3} = 1 উপবৃত্তের স্পর্শক হলে c এর মান কত?,\pm 2\sqrt{7},\pm 3\sqrt{26},\pm 6\sqrt{6},\pm 4\sqrt{4},\pm 2\sqrt{7},\pm 3\sqrt{26},\pm 6\sqrt{6},\pm 4\sqrt{4},d
What is the length of conjugate axis of the hyperbola \frac{x^{2}}{16} - \frac{y^{2}}{9} = 1?,\frac{x^{2}}{16} - \frac{y^{2}}{9} = 1 অধিবৃত্তের (hyperbola) অনুবন্ধী অক্ষের দৈর্ঘ্য কত?,4,5,6,8,4,5,6,8,c
What is the vertex of the hyperbola 4y^{2} - 9x^{2} = 36?,4y^{2} - 9x^{2} = 36 অধিবৃত্তের শীর্ষবিন্দু কত?,"(\pm 3, 0)","(0, \pm 3)","(\pm 2, 0)","(0, \pm 2)","(\pm 3, 0)","(0, \pm 3)","(\pm 2, 0)","(0, \pm 2)",b
"For the ellipse 9x^{2} + 4y^{2} = 36-
 i. eccentricity \frac{\sqrt{5}}{3}
 ii. co-ordinates of foci are (0, \pm \sqrt{5})
 iii. length of major axis = 6 units
 Which one is correct?","9x^{2} + 4y^{2} = 36 উপবৃত্তের-
 i. উৎকেন্দ্রিকতা \frac{\sqrt{5}}{3}
 ii. উপকেন্দ্রের স্থানাঙ্ক (0, \pm \sqrt{5})
 iii. বৃহৎ অক্ষের দৈর্ঘ্য = 6 একক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"Two equivalent forces of magnitude P act along OX and OY. The angle of inclination between the forces is 90\degree.
 
 Which one is the angle that subtended by the resultant of the forces OX?","P মানের দুইটি সমান বল OX ও OY বরাবর ক্রিয়া করে। বল দুইটির মধ্যবর্তী কোণ 90\degree ।
 
 বল দুইটির লব্ধি OX এর সাথে কত কোণ উৎপন্ন করে?",15\degree,30\degree,45\degree,90\degree,15\degree,30\degree,45\degree,90\degree,c
"Two equivalent forces of magnitude P act along OX and OY. The angle of inclination between the forces is 90\degree.
 
 What is the magnitude of the resultant of forces?","P মানের দুইটি সমান বল OX ও OY বরাবর ক্রিয়া করে। বল দুইটির মধ্যবর্তী কোণ 90\degree ।
 
 বল দুইটির লব্ধির মান কত?",\sqrt{2}P,\sqrt{3}P,2P,3P,\sqrt{2}P,\sqrt{3}P,2P,3P,a
"Two parallel forces of magnitudes 9 and 5 act at the points A and B respectively whose distance is 5 units-
 i. if unlike parallel, then resultant is 4 units
 ii. if like parallel and resultant act on a point C then BC = \frac{45}{14} units
 iii. if like parallel, then resultant is 14 units
 Which one is correct?","5 একক দূরত্বে A ও B বিন্দুতে ক্রিয়ারত 9 এবং 5 একক মানের সমান্তরাল বলদ্বয়-
 i. অসদৃশ হলে লব্ধির মান 4 একক
 ii. সদৃশ এবং লব্ধি C বিন্দুতে ক্রিয়ারত হলে BC = \frac{45}{14} একক
 iii. সদৃশ হলে লব্ধির মান 14 একক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"Three like parallel forces of magnitude P, Q and R are acting at A, B and C respectively which are the three angular points of \Delta ABC. If the resultant of the forces passes through the centroid of the triangle-","\Delta ABC এর কৌণিক বিন্দু A, B ও C তে যথাক্রমে P, Q এবং R মানের তিনটি সদৃশ সমান্তরাল বল ক্রিয়াশীল। লব্ধি ত্রিভুজের ভরকেন্দ্রগামী হলে-",P : Q : R = sinA : sinB : sinC,P : Q : R = tanA : tanB : tanC,P : Q : R = sin2A : sin2B : sin2C,P : Q : R = 1 : 1 : 1,P : Q : R = sinA : sinB : sinC,P : Q : R = tanA : tanB : tanC,P : Q : R = sin2A : sin2B : sin2C,P : Q : R = 1 : 1 : 1,d
Which one is the equation of directrix of the conic x^{2} + 3y^{2} = 3?,x^{2} + 3y^{2} = 3 কণিকের নিয়ামকের সমীকরণ কোনটি?,\sqrt{2}x = \pm 3,2x = \pm 3,x = \pm \sqrt{2},x = \pm 2,\sqrt{2}x = \pm 3,2x = \pm 3,x = \pm \sqrt{2},x = \pm 2,a
"Three forces of magnitude 2, 2 and 2\sqrt{2} unit acting at a particle are in equilibrium. What is the angle between 2 and 2 unit forces.","2, 2 এবং 2\sqrt{2} একক মানের বলত্রয় একটি বস্তুর উপর ক্রিয়া করে ভারসাম্য সৃষ্টি করে। 2 এবং 2 একক বলদ্বয়ের মধ্যবর্তী কোণ কত?",45\degree,90\degree,135\degree,180\degree,45\degree,90\degree,135\degree,180\degree,b
If the roots of the equation x^{2} - 4x + 3 = 0 are \alpha and \beta then the value of \frac{1}{\alpha} + frac{1}{\beta} is-,যদি x^{2} - 4x + 3 = 0 সমীকরণের মূলদ্বয় \alpha এবং \beta হয় তবে \frac{1}{\alpha} + frac{1}{\beta} এর মান-,\frac{4}{3},\frac{3}{4},\frac{-4}{3},\frac{-3}{4},\frac{4}{3},\frac{3}{4},\frac-4}{3},\frac{-3}{4},a
Which is the quadratic equation whose one root is 2 + i?,2 + i মূলবিশিষ্ট দ্বিঘাত সমীকরণ কোনটি?,x^{2} - 4x + 5 = 0,x^{2} + 4x - 3 = 0,x^{2} - 4x + 3 = 0,x^{2} + 4x - 5 = 0,x^{2} - 4x + 5 = 0,x^{2} + 4x - 3 = 0,x^{2} - 4x + 3 = 0,x^{2} + 4x - 5 = 0,a
"If the roots of the equation x^{3} - 2x^{2} + 4 = 0 are p, q, r then the value of pqr is-","x^{3} - 2x^{2} + 4 = 0 এর মূলগুলো p, q, r হলে pqr এর মান-",-2,-4,2,4,-2,-4,2,4,b
Which one of the following nature the roots of the equation x^{2} + x + 1 = 0 is-,x^{2} + x + 1 = 0 সমীকরণের মূলদ্বয়ের প্রকৃতি নিচের কোনটি?,real and unequal,complex,irrational,real and equal,বাস্তব ও অসমান,অবাস্তব,অমূলদ,বাস্তব ও সমান,b
"x^{2} + 2x - p = 0 is a quadratic equation.
 
 What is the value of p when product of the roots of the equation is 4?","x^{2} + 2x - p = 0 একটি দ্বিঘাত সমীকরণ।
 
 সমীকরণের মূলদ্বয়ের গুণফল 4 হলে p এর মান কত?",4,2,-4,-2,4,2,-4,-2,c
"x^{2} + 2x - p = 0 is a quadratic equation.
 
 What are the value of roots, when one root is double of other?","x^{2} + 2x - p = 0 একটি দ্বিঘাত সমীকরণ।
 
 সমীকরণের একটি মূল অপরটির দ্বিগুণ হলে মূলদ্বয় কত?","\frac{-2}{3}, \frac{4}{3}","\frac{-2}{3}, \frac{-4}{3}","\frac{-4}{3}, \frac{2}{3}","\frac{2}{3}, \frac{4}{3}","\frac{-2}{3}, \frac{4}{3}","\frac{-2}{3}, \frac{-4}{3}","\frac{-4}{3}, \frac{2}{3}","\frac{2}{3}, \frac{4}{3}",b
What is the value of sec^{2} (tan^{-1}) - cosec^{2}(cot^{-1}3)?,sec^{2} (tan^{-1}) - cosec^{2}(cot^{-1}3) এর মান কত?,5,15,\sqrt{5} - \sqrt{10},-5,5,15,\sqrt{5} - \sqrt{10},-5,d
What is the general solution of 2sin\frac{\theta}{2} - 1 = 0?,2sin\frac{\theta}{2} - 1 = 0 এর সাধারণ সমাধান কোনটি?,2n\pi - \frac{\pi}{3},2n\pi + \frac{\pi}{3},n\pi + (-1)^{n} \frac{\pi}{6},2n\pi + (-1)^{n} \frac{\pi}{3},2n\pi - \frac{\pi}{3},2n\pi + \frac{\pi}{3},n\pi + (-1)^{n} \frac{\pi}{6},2n\pi + (-1)^{n} \frac{\pi}{3},d
"If f(x) = sin^{-1}x then-
 i. f(x) + f(\sqrt{1 - x^{2}}) = \frac{\pi}{2}
 ii. cosec \{f(x)\} = \frac{1}{x}
 iii. f(1) = \frac{\pi}{2}
 Which one is correct?","f(x) = sin^{-1}x হলে-
 i. f(x) + f(\sqrt{1 - x^{2}}) = \frac{\pi}{2}
 ii. cosec \{f(x)\} = \frac{1}{x}
 iii. f(1) = \frac{\pi}{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the general solution of the equation cos\theta + \sqrt{3} sin\theta = 2?,cos\theta + \sqrt{3} sin\theta = 2 সমীকরণের সাধারণ সমাধান কোনটি?,2n\pi - \frac{\pi}{3},2n\pi + \frac{\pi}{3},2n\pi +\frac{\pi}{6},2n\pi - \frac{\pi}{6},2n\pi - \frac{\pi}{3},2n\pi + \frac{\pi}{3},2n\pi +\frac{\pi}{6},2n\pi - \frac{\pi}{6},b
For which values of k the roots of the equation kx^{2} + 4x + 4 = 0 will be complex number?,k এর মান কত হলে kx^{2} + 4x + 4 = 0 সমীকরণের মূলদ্বয় জটিল হবে?,k > 4,k < 4,k > 1,k > 16,k > 4,k < 4,k > 1,k > 16,c
For which condition that sum of the roots of the equation x^{3} + px^{2} + qx - r = 0 being zero?,কী শর্তে x^{3} + px^{2} + qx - r = 0 সমীকরণের দুটি মূলের সমষ্টি শূন্য হবে?,pr = q,pq + r = 0,qr = p,r = p,pr = q,pq + r = 0,qr = p,r = p,b
"If x^{2} - 5x + 6 = 0 and x^{2} + x - 12 = 0 are the two quadatic equation, then-
 i. the roots of those equations are rational
 ii. common root is 3
 iii. the sum of the roots of the 1st equation is 5
 Which one is correct?","x^{2} - 5x + 6 = 0 এবং x^{2} + x - 12 = 0 সমীকরণদ্বয়ের-
 i. প্রতিটির মূলদ্বয় মূলদ
 ii. সাধারণ মূল 3
 iii. প্রথম সমীকরণের মূলদ্বয়ের সমষ্টি 5
 নিচের কোনটি সঠিক?",i,ii,i and iii,"i, ii and iii",i,ii,i ও iii,"i, ii ও iii",d
"Two roots of the equation x^{2} + x + 1 = 0 are \alpha^{-1} and \beta^{-1}.
 
 What is the value of (\alpha - \beta)?","x^{2} + x + 1 = 0 এর মূলদ্বয় \alpha^{-1} ও \beta^{-1} হলে-
 
 (\alpha - \beta) এর মান কত?",1,\sqrt{3}i,-1,1 + 3i,1,\sqrt{3}i,-1,1 + 3i,b
"Two roots of the equation x^{2} + x + 1 = 0 are \alpha^{-1} and \beta^{-1}.
 
 What is the value of \alpha?","x^{2} + x + 1 = 0 এর মূলদ্বয় \alpha^{-1} ও \beta^{-1} হলে-
 
 \alpha এর মান কত?",1 - i,1 + i,- \frac{1}{2} \pm \frac{\sqrt{3}}{2} i,\frac{1}{2} \pm \frac{\sqrt{5}}{2},1 - i,1 + i,- \frac{1}{2} \pm \frac{\sqrt{3}}{2} i,\frac{1}{2} \pm \frac{\sqrt{5}}{2},c
"If the values of x are real, then what is maximum value of -4x^{2} + 4ax + b^{2}?",x এর মান বাস্তব হলে -4x^{2} + 4ax + b^{2} এর সর্বোচ্চ মান-,a^{2} + b^{2},a + b,a^{2} - b^{2},a - b,a^{2} + b^{2},a + b,a^{2} - b^{2},a - b,a
Which of the following is the name of the equation 7x^{2} + 7y^{2} - 2xy - 30x + 50y + 103 = 0?,7x^{2} + 7y^{2} - 2xy - 30x + 50y + 103 = 0 সমীকরণটি নিচের কোনটি বোঝায়?,circle,ellipse,parabola,Hyperbola,বৃত্ত,উপবৃত্ত,পরাবৃত্ত,অধিবৃত্ত,b
What is the equation of the asymptotes of the hyperbola \frac{x^{2}}{16} - \frac{y^{2}}{9} = 1?,\frac{x^{2}}{16} - \frac{y^{2}}{9} = 1 অধিবৃত্তের অসীমতটের সমীকরণ-,\frac{x^{2}}{16} - \frac{y^{2}}{9} = 0,\frac{x^{2}}{16} + \frac{y^{2}}{9} = 0,y = \pm \frac{3}{4}x,x = \pm \frac{5}{4}y,\frac{x^{2}}{16} - \frac{y^{2}}{9} = 0,\frac{x^{2}}{16} + \frac{y^{2}}{9} = 0,y = \pm \frac{3}{4}x,x = \pm \frac{5}{4}y,c
"If x^{2} = 4 - 4y^{2} be an equation of ellipse-
 i. parametric coordinates of the ellipse is (2cos\theta, sin\theta)
 ii. the minor axis lies along x-axis
 iii. distance between the foci is 2\sqrt{3}
 Which one is correct?","x^{2} = 4 - 4y^{2} উপবৃত্তের-
 i. পরামিতিক স্থানাঙ্ক (2cos\theta, sin\theta)
 ii. ক্ষুদ্রাক্ষ x-অক্ষ বরাবর
 iii. ফোকাসদ্বয়ের দূরত্ব 2\sqrt{3}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the value of x if sinx = cos x?,sinx = cos x হয় তবে x এর মান কত?,\frac{\pi}{3},\frac{5\pi}{4},\frac{5\pi}{6},\frac{\pi}{2},\frac{\pi}{3},\frac{5\pi}{4},\frac{5\pi}{6},\frac{\pi}{2},b
What is the value of sin^{-1} \frac{2}{5} + sin^{-1} \frac{\sqrt{21}}{5}?,sin^{-1} \frac{2}{5} + sin^{-1} \frac{\sqrt{21}}{5} এর মান কত?,\pi,\frac{\pi}{2},2\pi,\frac{\pi}{4},\pi,\frac{\pi}{2},2\pi,\frac{\pi}{4},b
What is the value of x if 3sec^{-1} (2) = cos^{-1}x?,3sec^{-1} (2) = cos^{-1}x হলে x এর মান কত?,\frac{1}{3},- \frac{1}{3},\frac{1}{2},-1,\frac{1}{3},- \frac{1}{3},\frac{1}{2},-1,d
"For an inverse trigonometric circular function-
 i. complimentary angle of sin^{-1} \frac{1}{2} is cos^{-1} \frac{1}{2}
 ii. cosec^{-1} \frac{1}{x} = sec^{-1} \frac{1}{\sqrt{1 - x^{2}}}
 iii. tan^{-1}x + tan^{-1}y = tan^{-1} \frac{x + y}{1 - xy} when xy > 1
 Which one is correct?","বিপরীত বৃত্তীয় ফাংশনের ক্ষেত্রে-
 i. sin^{-1} \frac{1}{2} এর পূরক কোণ cos^{-1} \frac{1}{2}
 ii. cosec^{-1} \frac{1}{x} = sec^{-1} \frac{1}{\sqrt{1 - x^{2}}}
 iii. tan^{-1}x + tan^{-1}y = tan^{-1} \frac{x + y}{1 - xy} যখন xy > 1
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"tan^{-1}3 = A, tan^{-1}2 = B and A + B + C = \pi
 
 Which of the following is the value of A + B?","tan^{-1}3 = A, tan^{-1}2 = B এবং A + B + C = \pi
 
 A + B এর মান নিচের কোনটি?",\frac{\pi}{4},\frac{\pi}{2},\frac{3\pi}{4},\frac{3\pi}{2},\frac{\pi}{4},\frac{\pi}{2},\frac{3\pi}{4},\frac{3\pi}{2},c
"tan^{-1}3 = A, tan^{-1}2 = B and A + B + C = \pi
 
 Which of the following relation is true?","tan^{-1}3 = A, tan^{-1}2 = B এবং A + B + C = \pi
 
 নিচের কোন সম্পর্কটি সত্য?",A - B = \frac{\pi}{4},cot B = 2,cot^{-1}2 = \frac{\pi}{2} + B,cot^{-1}2 = \frac{\pi}{2} - B,A - B = \frac{\pi}{4},cot B = 2,cot^{-1}2 = \frac{\pi}{2} + B,cot^{-1}2 = \frac{\pi}{2} - B,d
The vertical and horizontal resolved parts of a force are 4N and 3N. The force is-,একটি বলের আনুভূমিক ও উলম্ব অংশের মান 4N ও 3N হলে বলটির মান-,5N,10N,2\sqrt{3}N,7N,5N,10N,2\sqrt{3}N,7N,a
A weight of \sqrt{3} kg is supported by two forces. One of which is horizontal and the other one inclined at 30\degree to the horizon. What are the magnitude of these forces?,\sqrt{3} kg ওজনের একটি বস্তুকে দুটি বল দ্বারা টেনে রাখা হয়েছে। একটি আনুভূমিক এবং অপরটি অনুভূমিকের সাথে 30\degree কোণে ক্রিয়ারত হলে বলদ্বয় কত কেজি ওজন?,"3\sqrt{5}, 10","2\sqrt{3}, \sqrt{3}","5\sqrt{3}, 10","3, 2\sqrt{3}","3\sqrt{5}, 10","2\sqrt{3}, \sqrt{3}","5\sqrt{3}, 10","3, 2\sqrt{3}",d
"The smallest resultant of the two forces is 1N and if they act at right angle, their resultant is 5N. The greatest resultant of the two forces is-",একই বিন্দুতে ক্রিয়ারত দুটি বলের ক্ষুদ্রতম লব্ধি 1N এবং বল দুটি লম্বভাবে ক্রিয়াশীল হলে লব্ধির মান 5N । বলদ্বয় দ্বারা বৃহত্তম লব্ধির মান-,5N,2N,7N,3N,5N,2N,7N,3N,c
